protein,ligand,lambdai,Gi(kcal/mol),stddev(kcal/mol),dG(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,
9H26DM,CPZ,0,0,0,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.05,18.29716,0.02341187,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.1,35.524,0.04842118,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.15,51.53749,0.0629308,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.2,66.18513,0.08318987,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.25,77.64584,0.09683977,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.3,73.12245,0.1092715,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.35,66.30816,0.1204986,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.4,58.3526,0.1259626,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.45,49.66096,0.1300375,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.5,40.28542,0.1342693,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,1,0,0,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.95,18.99382,0.01384674,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.9,37.60521,0.0270246,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.85,55.34506,0.05036708,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.8,70.5787,0.08223546,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.75,82.06721,0.09639491,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.7,76.26332,0.1273293,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.65,67.04092,0.1380705,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.6,56.5841,0.142993,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.55,45.3147,0.1468237,-6.350303,0.201713,-0.95 ,,
9H26DM,CPZ,0.5,33.35537,0.1505327,-6.350303,0.201713,-0.95 ,,
9bCD,PMT,0,0,0,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.05,18.14567,0.02547483,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.1,35.10793,0.05053831,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.15,50.90222,0.06438584,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.2,65.40408,0.08129737,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.25,77.4925,0.09864396,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.3,75.00279,0.1077436,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.35,70.75048,0.119302,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.4,64.80216,0.1288302,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.45,57.25445,0.1377523,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.5,48.117,0.1463844,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,1,0,0,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.95,18.79088,0.01653977,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.9,37.01969,0.03353498,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.85,53.82915,0.06366757,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.8,68.69572,0.08459541,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.75,80.41007,0.1003231,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.7,76.81001,0.1105993,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.65,70.91025,0.1241378,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.6,63.03405,0.1347001,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.55,53.42328,0.1434236,-5.325095,0.210789,-0.86 ,,
9bCD,PMT,0.5,42.21216,0.151669,-5.325095,0.210789,-0.86 ,,
9bCD,TFP,0,0,0,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.05,18.66703,0.01732237,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.1,36.73232,0.03460314,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.15,53.71454,0.05614644,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.2,69.50803,0.06857403,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.25,84.02397,0.08421236,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.3,82.62209,0.1019761,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.35,79.0124,0.1155757,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.4,73.53381,0.1268097,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.45,66.22061,0.1371994,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.5,57.17415,0.1460037,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,1,0,0,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.95,19.07504,0.0123947,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.9,37.84929,0.02303432,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.85,56.24537,0.03364911,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.8,73.48949,0.06241379,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.75,87.8736,0.1076102,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.7,84.968,0.1232309,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.65,79.67386,0.1373296,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.6,72.1133,0.1480476,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.55,62.66175,0.1566312,-5.161447,0.220474,-0.10 ,,
9bCD,TFP,0.5,51.43296,0.1652026,-5.161447,0.220474,-0.10 ,,
9bCD,PMZ,0,0,0,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.05,18.13377,0.02546148,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.1,35.13649,0.04967212,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.15,50.98548,0.06340314,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.2,65.71413,0.07713898,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.25,78.18506,0.09881936,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.3,75.77277,0.1092989,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.35,71.66835,0.1201528,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.4,65.79249,0.1308441,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.45,58.18558,0.1403245,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.5,48.96535,0.1484308,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,1,0,0,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.95,18.85172,0.01633363,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.9,37.15755,0.03287668,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.85,54.08534,0.06267651,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.8,69.22549,0.08008649,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.75,81.28957,0.1022791,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.7,77.79772,0.1142959,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.65,71.91985,0.1276834,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.6,64.03999,0.1384592,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.55,54.47101,0.1465475,-5.102573,0.214488,-0.13 ,,
9bCD,PMZ,0.5,43.28303,0.154833,-5.102573,0.214488,-0.13 ,,
9bCD,TDZ,0,0,0,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.05,18.55054,0.01934729,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.1,36.37182,0.03860335,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.15,53.00129,0.05815047,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.2,68.61112,0.06822884,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.25,83.05163,0.08016785,-5.520461,0.213451,0.18 ,,
