protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
BACE,17i,17a,0,0,0,0.793726,1.577446,,,
BACE,17i,17a,0.05,16.39505,0.3475094,0.793726,1.577446,,,
BACE,17i,17a,0.1,29.01732,0.4135088,0.793726,1.577446,,,
BACE,17i,17a,0.15,40.42528,0.4394062,0.793726,1.577446,,,
BACE,17i,17a,0.2,51.55475,0.4440887,0.793726,1.577446,,,
BACE,17i,17a,0.25,62.63591,0.4452675,0.793726,1.577446,,,
BACE,17i,17a,0.3,56.77367,0.514762,0.793726,1.577446,,,
BACE,17i,17a,0.35,47.93975,0.5509325,0.793726,1.577446,,,
BACE,17i,17a,0.4,38.15201,0.5675232,0.793726,1.577446,,,
BACE,17i,17a,0.45,27.73196,0.5791244,0.793726,1.577446,,,
BACE,17i,17a,0.5,16.71803,0.5917159,0.793726,1.577446,,,
BACE,17a,17i,0,0,0,0.793726,1.577446,,,
BACE,17a,17i,0.05,16.07131,0.2856741,0.793726,1.577446,,,
BACE,17a,17i,0.1,28.44477,0.3631901,0.793726,1.577446,,,
BACE,17a,17i,0.15,39.81457,0.3839668,0.793726,1.577446,,,
BACE,17a,17i,0.2,50.95998,0.3890196,0.793726,1.577446,,,
BACE,17a,17i,0.25,62.04997,0.3907304,0.793726,1.577446,,,
BACE,17a,17i,0.3,55.89284,0.4456874,0.793726,1.577446,,,
BACE,17a,17i,0.35,47.34878,0.4787245,0.793726,1.577446,,,
BACE,17a,17i,0.4,37.87277,0.5004112,0.793726,1.577446,,,
BACE,17a,17i,0.45,27.72642,0.5155578,0.793726,1.577446,,,
BACE,17a,17i,0.5,17.03547,0.5290299,0.793726,1.577446,,,
BACE,17c,17e,0,0,0,0.811476,0.911386,,,
BACE,17c,17e,0.05,18.01209,0.1673804,0.811476,0.911386,,,
BACE,17c,17e,0.1,32.60284,0.3227598,0.811476,0.911386,,,
BACE,17c,17e,0.15,45.04898,0.3803485,0.811476,0.911386,,,
BACE,17c,17e,0.2,56.43336,0.4051366,0.811476,0.911386,,,
BACE,17c,17e,0.25,67.56498,0.410282,0.811476,0.911386,,,
BACE,17c,17e,0.3,62.81973,0.4515211,0.811476,0.911386,,,
BACE,17c,17e,0.35,55.35144,0.5115804,0.811476,0.911386,,,
BACE,17c,17e,0.4,46.38784,0.535678,0.811476,0.911386,,,
BACE,17c,17e,0.45,36.44364,0.5572108,0.811476,0.911386,,,
