protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
JNK1-nnp,18626,18628,0.00 ,0,0,0.36 ,1.97 ,,,
JNK1-nnp,18626,18628,0.05 ,16.14903,0.1445165,0.36 ,1.97 ,,,
JNK1-nnp,18626,18628,0.1,29.16002,0.1728627,0.36 ,1.97 ,,,
JNK1-nnp,18626,18628,0.15 ,40.87017,0.1877773,0.36 ,1.97 ,,,
JNK1-nnp,18626,18628,0.2,52.07586,0.1922195,0.36 ,1.97 ,,,
JNK1-nnp,18626,18628,0.25 ,63.17435,0.1932982,0.36 ,1.97 ,,,
JNK1-nnp,18626,18628,0.3,57.77224,0.2171475,0.36 ,1.97 ,,,
JNK1-nnp,18626,18628,0.35 ,49.44151,0.2369974,0.36 ,1.97 ,,,
JNK1-nnp,18626,18628,0.4,39.97162,0.2452933,0.36 ,1.97 ,,,
JNK1-nnp,18626,18628,0.45 ,29.84138,0.2510274,0.36 ,1.97 ,,,
JNK1-nnp,18626,18628,0.5,19.1872,0.2563894,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.00 ,0,0,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.05 ,16.41395,0.1343846,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.1,29.10184,0.1711647,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.15 ,40.52232,0.1827139,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.2,51.66096,0.1852411,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.25 ,62.73856,0.1859731,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.3,56.90995,0.2118281,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.35 ,48.27365,0.2289591,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.4,38.59281,0.2376765,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.45 ,28.25104,0.2436228,0.36 ,1.97 ,,,
JNK1-nnp,18628,18626,0.5,17.392,0.2489266,0.36 ,1.97 ,,,
JNK1-nnp,18627,18630,0.00 ,0,0,0.34 ,0.54 ,,,
JNK1-nnp,18627,18630,0.05 ,16.43871,0.1433469,0.34 ,0.54 ,,,
JNK1-nnp,18627,18630,0.1,28.88501,0.1816793,0.34 ,0.54 ,,,
JNK1-nnp,18627,18630,0.15 ,40.16032,0.1898365,0.34 ,0.54 ,,,
JNK1-nnp,18627,18630,0.2,51.2616,0.191376,0.34 ,0.54 ,,,
JNK1-nnp,18627,18630,0.25 ,62.32253,0.1919045,0.34 ,0.54 ,,,
JNK1-nnp,18627,18630,0.3,55.87805,0.2111328,0.34 ,0.54 ,,,
JNK1-nnp,18627,18630,0.35 ,47.04549,0.2264054,0.34 ,0.54 ,,,
JNK1-nnp,18627,18630,0.4,37.24182,0.2347464,0.34 ,0.54 ,,,
JNK1-nnp,18627,18630,0.45 ,26.86475,0.2399018,0.34 ,0.54 ,,,
JNK1-nnp,18627,18630,0.5,16.09224,0.2440431,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.00 ,0,0,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.05 ,15.84632,0.1401273,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.1,28.19287,0.1776635,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.15 ,39.43837,0.1849112,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.2,50.53062,0.1861449,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.25 ,61.58918,0.1865795,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.3,55.07897,0.2084799,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.35 ,46.07457,0.2240291,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.4,36.17401,0.2312398,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.45 ,25.73689,0.2362845,0.34 ,0.54 ,,,
JNK1-nnp,18630,18627,0.5,14.88957,0.2408081,0.34 ,0.54 ,,,
JNK1-nnp,18637,18631,0.00 ,0,0,0.37 ,1.67 ,,,
JNK1-nnp,18637,18631,0.05 ,18.15478,0.05887946,0.37 ,1.67 ,,,
JNK1-nnp,18637,18631,0.1,33.48807,0.1357702,0.37 ,1.67 ,,,
JNK1-nnp,18637,18631,0.15 ,46.72145,0.1628246,0.37 ,1.67 ,,,
JNK1-nnp,18637,18631,0.2,58.40053,0.1812114,0.37 ,1.67 ,,,
JNK1-nnp,18637,18631,0.25 ,69.59113,0.1848078,0.37 ,1.67 ,,,
JNK1-nnp,18637,18631,0.3,65.24738,0.2058345,0.37 ,1.67 ,,,
JNK1-nnp,18637,18631,0.35 ,58.20213,0.2279751,0.37 ,1.67 ,,,
JNK1-nnp,18637,18631,0.4,49.58195,0.2419869,0.37 ,1.67 ,,,
JNK1-nnp,18637,18631,0.45 ,39.90343,0.2509319,0.37 ,1.67 ,,,
JNK1-nnp,18637,18631,0.5,29.43629,0.2587922,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.00 ,0,0,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.05 ,18.02861,0.05927313,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.1,33.47248,0.1361787,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.15 ,46.74356,0.1621186,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.2,58.53745,0.1802145,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.25 ,69.77523,0.1848232,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.3,65.34291,0.2125057,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.35 ,58.07767,0.2341668,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.4,49.21105,0.2479147,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.45 ,39.27999,0.2567636,0.37 ,1.67 ,,,
JNK1-nnp,18631,18637,0.5,28.49972,0.2648299,0.37 ,1.67 ,,,
JNK1-nnp,18628,18624,0.00 ,0,0,0.36 ,0.84 ,,,
JNK1-nnp,18628,18624,0.05 ,16.70771,0.1274344,0.36 ,0.84 ,,,
JNK1-nnp,18628,18624,0.1,29.34563,0.1715238,0.36 ,0.84 ,,,
JNK1-nnp,18628,18624,0.15 ,40.6419,0.1820504,0.36 ,0.84 ,,,
JNK1-nnp,18628,18624,0.2,51.74174,0.1837156,0.36 ,0.84 ,,,
JNK1-nnp,18628,18624,0.25 ,62.80333,0.1842104,0.36 ,0.84 ,,,
JNK1-nnp,18628,18624,0.3,56.58946,0.205529,0.36 ,0.84 ,,,
JNK1-nnp,18628,18624,0.35 ,47.74865,0.223034,0.36 ,0.84 ,,,
JNK1-nnp,18628,18624,0.4,37.93167,0.2307062,0.36 ,0.84 ,,,
JNK1-nnp,18628,18624,0.45 ,27.54257,0.2361962,0.36 ,0.84 ,,,
JNK1-nnp,18628,18624,0.5,16.71748,0.2408155,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.00 ,0,0,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.05 ,16.1609,0.1637771,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.1,28.65192,0.1955065,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.15 ,39.9928,0.2040459,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.2,51.11803,0.2058277,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.25 ,62.19355,0.2064108,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.3,56.22586,0.2286237,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.35 ,47.30786,0.245447,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.4,37.41103,0.2522937,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.45 ,26.96603,0.2570487,0.36 ,0.84 ,,,
JNK1-nnp,18624,18628,0.5,16.08847,0.2615082,0.36 ,0.84 ,,,
JNK1-nnp,18633,18624,0.00 ,0,0,0.36 ,1.11 ,,,
JNK1-nnp,18633,18624,0.05,16.53592,0.1477247,0.36 ,1.11 ,,,
JNK1-nnp,18633,18624,0.10 ,29.17059,0.1805289,0.36 ,1.11 ,,,
JNK1-nnp,18633,18624,0.15,40.5783,0.1907074,0.36 ,1.11 ,,,
JNK1-nnp,18633,18624,0.20 ,51.72245,0.1928513,0.36 ,1.11 ,,,
JNK1-nnp,18633,18624,0.25,62.80809,0.1935387,0.36 ,1.11 ,,,
JNK1-nnp,18633,18624,0.30 ,57.06039,0.2183326,0.36 ,1.11 ,,,
JNK1-nnp,18633,18624,0.35,48.48425,0.2363096,0.36 ,1.11 ,,,
JNK1-nnp,18633,18624,0.40 ,38.83051,0.2444658,0.36 ,1.11 ,,,
JNK1-nnp,18633,18624,0.45,28.5865,0.2495847,0.36 ,1.11 ,,,
JNK1-nnp,18633,18624,0.50 ,17.90732,0.2540604,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0,0,0,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0.05 ,16.3973,0.15424,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0.10 ,29.23765,0.1869814,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0.15,40.697,0.1990248,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0.20 ,51.84352,0.2012926,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0.25,62.92658,0.2019767,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0.30 ,57.15708,0.2247557,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0.35,48.47853,0.2430232,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0.40 ,38.72749,0.2509015,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0.45,28.33847,0.2562958,0.36 ,1.11 ,,,
JNK1-nnp,18624,18633,0.50 ,17.47883,0.2607285,0.36 ,1.11 ,,,
JNK1-nnp,18629,18627,0,0,0,0.35 ,0.86 ,,,
JNK1-nnp,18629,18627,0.05 ,16.38522,0.1229009,0.35 ,0.86 ,,,
JNK1-nnp,18629,18627,0.10 ,28.86531,0.1630705,0.35 ,0.86 ,,,
JNK1-nnp,18629,18627,0.15,40.19988,0.1726883,0.35 ,0.86 ,,,
JNK1-nnp,18629,18627,0.20 ,51.32321,0.1747762,0.35 ,0.86 ,,,
JNK1-nnp,18629,18627,0.25,62.39782,0.1754418,0.35 ,0.86 ,,,
JNK1-nnp,18629,18627,0.30 ,56.48326,0.2020381,0.35 ,0.86 ,,,
JNK1-nnp,18629,18627,0.35,47.82567,0.2206505,0.35 ,0.86 ,,,
JNK1-nnp,18629,18627,0.40 ,38.11644,0.2296169,0.35 ,0.86 ,,,
JNK1-nnp,18629,18627,0.45,27.75132,0.2359136,0.35 ,0.86 ,,,
JNK1-nnp,18629,18627,0.50 ,16.87928,0.241331,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0,0,0,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0.05 ,16.84447,0.135126,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0.10 ,29.49773,0.1774178,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0.15,40.84603,0.1871954,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0.20 ,51.97516,0.1890042,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0.25,63.05532,0.1896077,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0.30 ,57.32759,0.2150901,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0.35,48.69655,0.2345361,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0.40 ,39.01617,0.2427311,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0.45,28.72396,0.248056,0.35 ,0.86 ,,,
JNK1-nnp,18627,18629,0.50 ,17.93332,0.253031,0.35 ,0.86 ,,,
JNK1-nnp,18634,18637,0,0,0,0.36 ,0.14 ,,,
JNK1-nnp,18634,18637,0.05 ,18.27099,0.05733285,0.36 ,0.14 ,,,
JNK1-nnp,18634,18637,0.10 ,32.97944,0.1497667,0.36 ,0.14 ,,,
JNK1-nnp,18634,18637,0.15,45.45824,0.1744397,0.36 ,0.14 ,,,
JNK1-nnp,18634,18637,0.20 ,56.84313,0.185185,0.36 ,0.14 ,,,
JNK1-nnp,18634,18637,0.25,67.98529,0.1871392,0.36 ,0.14 ,,,
JNK1-nnp,18634,18637,0.30 ,63.37985,0.2088302,0.36 ,0.14 ,,,
JNK1-nnp,18634,18637,0.35,56.00126,0.2323026,0.36 ,0.14 ,,,
JNK1-nnp,18634,18637,0.40 ,47.10759,0.2444951,0.36 ,0.14 ,,,
JNK1-nnp,18634,18637,0.45,37.26961,0.2524964,0.36 ,0.14 ,,,
JNK1-nnp,18634,18637,0.50 ,26.64287,0.2601116,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0,0,0,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0.05 ,17.73694,0.07770534,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0.10 ,32.34328,0.1398984,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0.15,44.84979,0.16899,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0.20 ,56.1994,0.179644,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0.25,67.3226,0.1814049,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0.30 ,62.6893,0.2004835,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0.35,55.48343,0.222859,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0.40 ,46.7054,0.2362794,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0.45,36.93763,0.2446281,0.36 ,0.14 ,,,
JNK1-nnp,18637,18634,0.50 ,26.35271,0.2529489,0.36 ,0.14 ,,,
JNK1-nnp,18635,18625,0,0,0,0.35 ,0.27 ,,,
JNK1-nnp,18635,18625,0.05 ,16.49942,0.1171451,0.35 ,0.27 ,,,
JNK1-nnp,18635,18625,0.10 ,29.27531,0.167773,0.35 ,0.27 ,,,
JNK1-nnp,18635,18625,0.15,40.63054,0.1789841,0.35 ,0.27 ,,,
JNK1-nnp,18635,18625,0.20 ,51.75584,0.1810421,0.35 ,0.27 ,,,
