protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
MCL1,28,27,0,0,0,0.857691,1.761459,,,
MCL1,28,27,0.05,16.34736,0.4670857,0.857691,1.761459,,,
MCL1,28,27,0.1,28.43116,0.5148755,0.857691,1.761459,,,
MCL1,28,27,0.15,39.66825,0.5252202,0.857691,1.761459,,,
MCL1,28,27,0.2,50.75877,0.5274444,0.857691,1.761459,,,
MCL1,28,27,0.25,61.81509,0.5282442,0.857691,1.761459,,,
MCL1,28,27,0.3,55.24661,0.5593637,0.857691,1.761459,,,
MCL1,28,27,0.35,46.38777,0.5869443,0.857691,1.761459,,,
MCL1,28,27,0.4,36.5432,0.6020055,0.857691,1.761459,,,
MCL1,28,27,0.45,26.18199,0.6106383,0.857691,1.761459,,,
MCL1,28,27,0.5,15.4253,0.6193845,0.857691,1.761459,,,
MCL1,27,28,0,0,0,0.857691,1.761459,,,
MCL1,27,28,0.05,15.19104,0.409821,0.857691,1.761459,,,
MCL1,27,28,0.1,27.25723,0.4633006,0.857691,1.761459,,,
MCL1,27,28,0.15,38.5065,0.4763545,0.857691,1.761459,,,
MCL1,27,28,0.2,49.61397,0.4790147,0.857691,1.761459,,,
MCL1,27,28,0.25,60.68673,0.4800177,0.857691,1.761459,,,
MCL1,27,28,0.3,54.58816,0.5213768,0.857691,1.761459,,,
MCL1,27,28,0.35,45.56811,0.5615912,0.857691,1.761459,,,
MCL1,27,28,0.4,35.55807,0.5749195,0.857691,1.761459,,,
MCL1,27,28,0.45,25.06198,0.5843795,0.857691,1.761459,,,
MCL1,27,28,0.5,14.17384,0.5932933,0.857691,1.761459,,,
MCL1,29,40,0,0,0,0.852089,0.744029,,,
MCL1,29,40,0.05,18.51085,0.1025097,0.852089,0.744029,,,
MCL1,29,40,0.1,34.19701,0.3569734,0.852089,0.744029,,,
MCL1,29,40,0.15,47.69276,0.4007964,0.852089,0.744029,,,
MCL1,29,40,0.2,59.65971,0.444922,0.852089,0.744029,,,
MCL1,29,40,0.25,70.88677,0.4564574,0.852089,0.744029,,,
MCL1,29,40,0.3,66.61151,0.5083942,0.852089,0.744029,,,
