protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
PTP1B,23471,23466,0,0,0,0.796111,1.432538,,,
PTP1B,23471,23466,0.05,16.7078,0.2233041,0.796111,1.432538,,,
PTP1B,23471,23466,0.1,30.75589,0.3043324,0.796111,1.432538,,,
PTP1B,23471,23466,0.15,43.31191,0.3555963,0.796111,1.432538,,,
PTP1B,23471,23466,0.2,54.74143,0.3869668,0.796111,1.432538,,,
PTP1B,23471,23466,0.25,65.88154,0.3928025,0.796111,1.432538,,,
PTP1B,23471,23466,0.3,61.24341,0.4427042,0.796111,1.432538,,,
PTP1B,23471,23466,0.35,53.68995,0.5015717,0.796111,1.432538,,,
PTP1B,23471,23466,0.4,44.65941,0.5286233,0.796111,1.432538,,,
PTP1B,23471,23466,0.45,34.75456,0.5472279,0.796111,1.432538,,,
PTP1B,23471,23466,0.5,24.10816,0.5649403,0.796111,1.432538,,,
PTP1B,23466,23471,0,0,0,0.796111,1.432538,,,
PTP1B,23466,23471,0.05,16.35172,0.2202808,0.796111,1.432538,,,
PTP1B,23466,23471,0.1,30.6125,0.291119,0.796111,1.432538,,,
PTP1B,23466,23471,0.15,43.79097,0.3279849,0.796111,1.432538,,,
PTP1B,23466,23471,0.2,55.635,0.3740979,0.796111,1.432538,,,
PTP1B,23466,23471,0.25,66.84719,0.3857757,0.796111,1.432538,,,
PTP1B,23466,23471,0.3,62.49871,0.4431696,0.796111,1.432538,,,
PTP1B,23466,23471,0.35,55.02327,0.4986739,0.796111,1.432538,,,
PTP1B,23466,23471,0.4,46.02984,0.5266254,0.796111,1.432538,,,
PTP1B,23466,23471,0.45,36.12008,0.5445532,0.796111,1.432538,,,
PTP1B,23466,23471,0.5,25.4407,0.5609235,0.796111,1.432538,,,
PTP1B,23473,20669_2qbr,0,0,0,0.761377,0.972203,,,
PTP1B,23473,20669_2qbr,0.05,17.74124,0.177428,0.761377,0.972203,,,
PTP1B,23473,20669_2qbr,0.1,31.71652,0.3320381,0.761377,0.972203,,,
PTP1B,23473,20669_2qbr,0.15,43.79083,0.3797402,0.761377,0.972203,,,
PTP1B,23473,20669_2qbr,0.2,55.08988,0.3982816,0.761377,0.972203,,,
PTP1B,23473,20669_2qbr,0.25,66.20067,0.4023221,0.761377,0.972203,,,
PTP1B,23473,20669_2qbr,0.3,61.11269,0.4515339,0.761377,0.972203,,,
PTP1B,23473,20669_2qbr,0.35,53.01727,0.4983182,0.761377,0.972203,,,
PTP1B,23473,20669_2qbr,0.4,43.63899,0.5208856,0.761377,0.972203,,,
PTP1B,23473,20669_2qbr,0.45,33.4114,0.5393292,0.761377,0.972203,,,
PTP1B,23473,20669_2qbr,0.5,22.58207,0.5531471,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0,0,0,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0.05,17.86075,0.1552332,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0.1,31.5374,0.3077385,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0.15,43.26313,0.3554112,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0.2,54.44801,0.3653265,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0.25,65.53989,0.3676708,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0.3,60.17855,0.4251413,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0.35,51.90603,0.4693691,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0.4,42.44267,0.4938167,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0.45,32.194,0.5104671,0.761377,0.972203,,,
PTP1B,20669_2qbr,23473,0.5,21.38987,0.523185,0.761377,0.972203,,,
PTP1B,23477,23482,0,0,0,0.82714,1.524022,,,
PTP1B,23477,23482,0.05,17.88817,0.152321,0.82714,1.524022,,,
PTP1B,23477,23482,0.1,32.90675,0.2812933,0.82714,1.524022,,,
PTP1B,23477,23482,0.15,46.47946,0.3257219,0.82714,1.524022,,,
PTP1B,23477,23482,0.2,58.59269,0.3779517,0.82714,1.524022,,,
PTP1B,23477,23482,0.25,69.9561,0.3936016,0.82714,1.524022,,,
PTP1B,23477,23482,0.3,65.76589,0.4685477,0.82714,1.524022,,,
PTP1B,23477,23482,0.35,58.94716,0.5117628,0.82714,1.524022,,,
PTP1B,23477,23482,0.4,50.5692,0.5457212,0.82714,1.524022,,,
PTP1B,23477,23482,0.45,41.06566,0.566856,0.82714,1.524022,,,
PTP1B,23477,23482,0.5,30.61688,0.585837,0.82714,1.524022,,,
PTP1B,23482,23477,0,0,0,0.82714,1.524022,,,
PTP1B,23482,23477,0.05,17.6633,0.1802309,0.82714,1.524022,,,
PTP1B,23482,23477,0.1,32.48336,0.300543,0.82714,1.524022,,,
PTP1B,23482,23477,0.15,46.1177,0.3291169,0.82714,1.524022,,,
PTP1B,23482,23477,0.2,58.55801,0.3811785,0.82714,1.524022,,,
PTP1B,23482,23477,0.25,69.90332,0.4050226,0.82714,1.524022,,,
PTP1B,23482,23477,0.3,66.12808,0.4420001,0.82714,1.524022,,,
PTP1B,23482,23477,0.35,59.44131,0.5056536,0.82714,1.524022,,,
PTP1B,23482,23477,0.4,51.08999,0.5361859,0.82714,1.524022,,,
PTP1B,23482,23477,0.45,41.56784,0.5625176,0.82714,1.524022,,,
PTP1B,23482,23477,0.5,30.9909,0.5839142,0.82714,1.524022,,,
PTP1B,20667_2qbp,23486,0,0,0,0.85017,0.601048,,,
PTP1B,20667_2qbp,23486,0.05,18.50678,0.1084038,0.85017,0.601048,,,
PTP1B,20667_2qbp,23486,0.1,34.58039,0.3639037,0.85017,0.601048,,,
PTP1B,20667_2qbp,23486,0.15,47.56824,0.4299509,0.85017,0.601048,,,
PTP1B,20667_2qbp,23486,0.2,59.0529,0.4589668,0.85017,0.601048,,,
PTP1B,20667_2qbp,23486,0.25,70.2029,0.4632779,0.85017,0.601048,,,
PTP1B,20667_2qbp,23486,0.3,65.13721,0.5261066,0.85017,0.601048,,,
PTP1B,20667_2qbp,23486,0.35,57.13489,0.5679589,0.85017,0.601048,,,
PTP1B,20667_2qbp,23486,0.4,47.90084,0.5889162,0.85017,0.601048,,,
PTP1B,20667_2qbp,23486,0.45,37.80154,0.6049311,0.85017,0.601048,,,
PTP1B,20667_2qbp,23486,0.5,27.10653,0.6164188,0.85017,0.601048,,,
PTP1B,23486,20667_2qbp,0,0,0,0.85017,0.601048,,,
PTP1B,23486,20667_2qbp,0.05,18.39775,0.1159519,0.85017,0.601048,,,
