protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
TYK2-nnp,ejm47,ejm31,0.00 ,0,0,0.35 ,0.84 ,,,
TYK2-nnp,ejm47,ejm31,0.05,16.79308,0.09299117,0.35 ,0.84 ,,,
TYK2-nnp,ejm47,ejm31,0.10 ,30.49851,0.1546785,0.35 ,0.84 ,,,
TYK2-nnp,ejm47,ejm31,0.15,42.04137,0.1732763,0.35 ,0.84 ,,,
TYK2-nnp,ejm47,ejm31,0.20 ,53.18394,0.1756906,0.35 ,0.84 ,,,
TYK2-nnp,ejm47,ejm31,0.25 ,64.2636,0.1763949,0.35 ,0.84 ,,,
TYK2-nnp,ejm47,ejm31,0.3,58.28847,0.2062166,0.35 ,0.84 ,,,
TYK2-nnp,ejm47,ejm31,0.35 ,49.43977,0.2248946,0.35 ,0.84 ,,,
TYK2-nnp,ejm47,ejm31,0.4,39.66892,0.2320338,0.35 ,0.84 ,,,
TYK2-nnp,ejm47,ejm31,0.45 ,29.37488,0.2368333,0.35 ,0.84 ,,,
TYK2-nnp,ejm47,ejm31,0.5,18.68123,0.2411822,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.00 ,0,0,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.05,16.5561,0.1102309,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.10 ,30.18354,0.1512704,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.15,42.02594,0.1737564,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.20 ,53.2237,0.1787437,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.25 ,64.31509,0.1798151,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.3,58.44383,0.213698,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.35 ,49.51794,0.2320181,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.4,39.5371,0.2400449,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.45 ,28.97786,0.2449516,0.35 ,0.84 ,,,
TYK2-nnp,ejm31,ejm47,0.5,17.99956,0.249421,0.35 ,0.84 ,,,
TYK2-nnp,jmc23,jmc30,0.00 ,0,0,0.33 ,1.82 ,,,
TYK2-nnp,jmc23,jmc30,0.05,17.40901,0.1031713,0.33 ,1.82 ,,,
