protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
hif2a-nnp,30,42,0,0,0,0.32 ,0.53 ,,,
hif2a-nnp,30,42,0.05 ,14.55009,0.1243406,0.32 ,0.53 ,,,
hif2a-nnp,30,42,0.1,26.64189,0.1537073,0.32 ,0.53 ,,,
hif2a-nnp,30,42,0.15 ,37.9064,0.1613148,0.32 ,0.53 ,,,
hif2a-nnp,30,42,0.2,49.01213,0.1628605,0.32 ,0.53 ,,,
hif2a-nnp,30,42,0.25 ,60.07954,0.1634344,0.32 ,0.53 ,,,
hif2a-nnp,30,42,0.30 ,54.20655,0.1866991,0.32 ,0.53 ,,,
hif2a-nnp,30,42,0.35,45.76745,0.2051285,0.32 ,0.53 ,,,
hif2a-nnp,30,42,0.40 ,36.17584,0.2159725,0.32 ,0.53 ,,,
hif2a-nnp,30,42,0.45,25.84952,0.2229893,0.32 ,0.53 ,,,
hif2a-nnp,30,42,0.50 ,14.95432,0.2295701,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0,0,0,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0.05 ,14.50404,0.1165726,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0.1,26.68157,0.1467846,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0.15 ,37.99055,0.1561384,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0.2,49.10786,0.1582423,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0.25 ,60.17897,0.1589513,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0.30 ,54.43916,0.1824956,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0.35,46.102,0.2022977,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0.40 ,36.71912,0.2122826,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0.45,26.665,0.2190244,0.32 ,0.53 ,,,
hif2a-nnp,42,30,0.50 ,16.05809,0.2253424,0.32 ,0.53 ,,,
hif2a-nnp,237,254,0,0,0,0.37 ,1.80 ,,,
hif2a-nnp,237,254,0.05 ,15.07709,0.129945,0.37 ,1.80 ,,,
hif2a-nnp,237,254,0.1,27.92636,0.1527282,0.37 ,1.80 ,,,
hif2a-nnp,237,254,0.15 ,39.71291,0.1672632,0.37 ,1.80 ,,,
hif2a-nnp,237,254,0.2,50.97827,0.1726903,0.37 ,1.80 ,,,
hif2a-nnp,237,254,0.25 ,62.10632,0.1742655,0.37 ,1.80 ,,,
hif2a-nnp,237,254,0.30 ,57.50425,0.1951673,0.37 ,1.80 ,,,
hif2a-nnp,237,254,0.35,50.11902,0.2186364,0.37 ,1.80 ,,,
hif2a-nnp,237,254,0.40 ,41.26547,0.2313217,0.37 ,1.80 ,,,
hif2a-nnp,237,254,0.45,31.47864,0.2399873,0.37 ,1.80 ,,,
hif2a-nnp,237,254,0.50 ,20.90533,0.2480671,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0,0,0,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0.05 ,15.40225,0.1783025,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0.1,27.76427,0.2000824,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0.15 ,39.22005,0.2079997,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0.2,50.39917,0.2105697,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0.25 ,61.50013,0.211448,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0.30 ,56.40493,0.2280332,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0.35,48.70261,0.2455816,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0.40 ,39.73486,0.2556807,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0.45,29.82752,0.2642134,0.37 ,1.80 ,,,
hif2a-nnp,254,237,0.50 ,19.1092,0.2713394,0.37 ,1.80 ,,,
hif2a-nnp,1,155,0,0,0,0.33 ,1.99 ,,,
hif2a-nnp,1,155,0.05 ,15.04906,0.153393,0.33 ,1.99 ,,,
hif2a-nnp,1,155,0.1,27.20828,0.1776293,0.33 ,1.99 ,,,
hif2a-nnp,1,155,0.15 ,38.50192,0.1849118,0.33 ,1.99 ,,,
hif2a-nnp,1,155,0.2,49.61096,0.1865721,0.33 ,1.99 ,,,
hif2a-nnp,1,155,0.25 ,60.67738,0.1871155,0.33 ,1.99 ,,,
hif2a-nnp,1,155,0.30 ,54.27465,0.2168317,0.33 ,1.99 ,,,
hif2a-nnp,1,155,0.35,45.18363,0.2319469,0.33 ,1.99 ,,,
hif2a-nnp,1,155,0.40 ,35.2577,0.2384987,0.33 ,1.99 ,,,
hif2a-nnp,1,155,0.45,24.81999,0.2430852,0.33 ,1.99 ,,,
hif2a-nnp,1,155,0.50 ,13.97003,0.247527,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0,0,0,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0.05 ,14.51497,0.1190263,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0.1,26.48634,0.1504434,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0.15 ,37.7025,0.1569995,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0.2,48.79668,0.1582582,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0.25 ,59.86164,0.1587381,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0.30 ,53.35614,0.188065,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0.35,44.179,0.2057202,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0.40 ,34.15708,0.2128174,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0.45,23.66721,0.2175861,0.33 ,1.99 ,,,
hif2a-nnp,155,1,0.50 ,12.80422,0.2221183,0.33 ,1.99 ,,,
hif2a-nnp,234,289,0,0,0,0.34 ,0.87 ,,,
hif2a-nnp,234,289,0.05 ,16.49057,0.1209666,0.34 ,0.87 ,,,
hif2a-nnp,234,289,0.1,29.25655,0.1586274,0.34 ,0.87 ,,,
hif2a-nnp,234,289,0.15 ,40.75943,0.1717655,0.34 ,0.87 ,,,
hif2a-nnp,234,289,0.2,51.92297,0.175003,0.34 ,0.87 ,,,
hif2a-nnp,234,289,0.25 ,63.01032,0.1759491,0.34 ,0.87 ,,,
hif2a-nnp,234,289,0.30 ,57.25409,0.202609,0.34 ,0.87 ,,,
hif2a-nnp,234,289,0.35,48.73469,0.2204171,0.34 ,0.87 ,,,
hif2a-nnp,234,289,0.40 ,39.13876,0.2296898,0.34 ,0.87 ,,,
hif2a-nnp,234,289,0.45,28.86505,0.2358971,0.34 ,0.87 ,,,
hif2a-nnp,234,289,0.50 ,18.10317,0.2410184,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0,0,0,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0.05 ,14.73627,0.1109666,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0.1,27.38804,0.13762,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0.15 ,39.00807,0.1519739,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0.2,50.22879,0.1565255,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0.25 ,61.34557,0.1579669,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0.30 ,55.8209,0.1937125,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0.35,47.23432,0.2140161,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0.40 ,37.63541,0.2221137,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0.45,27.41008,0.2284929,0.34 ,0.87 ,,,
hif2a-nnp,289,234,0.50 ,16.65861,0.2343572,0.34 ,0.87 ,,,
hif2a-nnp,156,165,0,0,0,0.36 ,1.56 ,,,
hif2a-nnp,156,165,0.05 ,14.87684,0.1159043,0.36 ,1.56 ,,,
hif2a-nnp,156,165,0.1,27.46613,0.144438,0.36 ,1.56 ,,,
hif2a-nnp,156,165,0.15 ,38.98127,0.1581755,0.36 ,1.56 ,,,
hif2a-nnp,156,165,0.2,50.15958,0.1617083,0.36 ,1.56 ,,,
hif2a-nnp,156,165,0.25 ,61.2604,0.1627471,0.36 ,1.56 ,,,
hif2a-nnp,156,165,0.30 ,56.22198,0.1881951,0.36 ,1.56 ,,,
hif2a-nnp,156,165,0.35,48.38404,0.2089057,0.36 ,1.56 ,,,
hif2a-nnp,156,165,0.40 ,39.26497,0.2212916,0.36 ,1.56 ,,,
hif2a-nnp,156,165,0.45,29.22908,0.2304182,0.36 ,1.56 ,,,
hif2a-nnp,156,165,0.50 ,18.4986,0.2375907,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0,0,0,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0.05 ,15.13071,0.182118,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0.1,27.24467,0.203032,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0.15 ,38.59551,0.2091101,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0.2,49.74291,0.2108736,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0.25 ,60.8325,0.2115443,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0.30 ,55.51072,0.2302144,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0.35,47.52788,0.2475335,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0.40 ,38.27829,0.2574513,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0.45,28.18708,0.2643369,0.36 ,1.56 ,,,
hif2a-nnp,165,156,0.50 ,17.44075,0.2705147,0.36 ,1.56 ,,,
hif2a-nnp,15,25,0,0,0,0.37 ,1.07 ,,,
hif2a-nnp,15,25,0.05 ,15.3029,0.1513428,0.37 ,1.07 ,,,
hif2a-nnp,15,25,0.1,27.99045,0.1732574,0.37 ,1.07 ,,,
hif2a-nnp,15,25,0.15 ,39.60317,0.1850167,0.37 ,1.07 ,,,
hif2a-nnp,15,25,0.2,50.81294,0.1886701,0.37 ,1.07 ,,,
hif2a-nnp,15,25,0.25 ,61.92288,0.1898236,0.37 ,1.07 ,,,
hif2a-nnp,15,25,0.3,56.43526,0.2183479,0.37 ,1.07 ,,,
hif2a-nnp,15,25,0.35 ,47.69549,0.238861,0.37 ,1.07 ,,,
hif2a-nnp,15,25,0.4,37.88229,0.2464503,0.37 ,1.07 ,,,
hif2a-nnp,15,25,0.45 ,27.50853,0.2512156,0.37 ,1.07 ,,,
hif2a-nnp,15,25,0.5,16.72549,0.2553568,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.00 ,0,0,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.05,16.00051,0.1696439,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.10 ,28.59359,0.1932056,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.15,40.17121,0.2025326,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.20 ,51.37595,0.2058304,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.25,62.47906,0.2068919,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.30 ,56.6393,0.2373084,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.35 ,47.63548,0.2547566,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.4,37.69338,0.2607457,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.45 ,27.25758,0.2648696,0.37 ,1.07 ,,,
hif2a-nnp,25,15,0.5,16.41578,0.268865,0.37 ,1.07 ,,,
hif2a-nnp,43,215,0.00 ,0,0,0.34 ,0.56 ,,,
hif2a-nnp,43,215,0.05,16.91518,0.1186784,0.34 ,0.56 ,,,
hif2a-nnp,43,215,0.10 ,30.09308,0.154868,0.34 ,0.56 ,,,
hif2a-nnp,43,215,0.15,41.86132,0.1711565,0.34 ,0.56 ,,,
hif2a-nnp,43,215,0.20 ,53.09182,0.1760325,0.34 ,0.56 ,,,
hif2a-nnp,43,215,0.25,64.20753,0.1772744,0.34 ,0.56 ,,,
hif2a-nnp,43,215,0.30 ,59.00541,0.2054117,0.34 ,0.56 ,,,
hif2a-nnp,43,215,0.35 ,50.7222,0.2278167,0.34 ,0.56 ,,,
hif2a-nnp,43,215,0.4,41.09198,0.2382878,0.34 ,0.56 ,,,
hif2a-nnp,43,215,0.45 ,30.74395,0.2441328,0.34 ,0.56 ,,,
hif2a-nnp,43,215,0.5,19.86897,0.249577,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.00 ,0,0,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.05,14.95749,0.1113523,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.10 ,27.7772,0.1396877,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.15,39.49788,0.1558923,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.20 ,50.74266,0.161303,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.25,61.86334,0.1629066,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.30 ,56.69923,0.1903797,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.35 ,48.61168,0.2130686,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.4,39.25241,0.2234664,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.45 ,29.17009,0.2303502,0.34 ,0.56 ,,,
hif2a-nnp,215,43,0.5,18.52762,0.2365331,0.34 ,0.56 ,,,
hif2a-nnp,43,54,0.00 ,0,0,0.33 ,1.53 ,,,
hif2a-nnp,43,54,0.05,14.4636,0.1177481,0.33 ,1.53 ,,,
hif2a-nnp,43,54,0.10 ,26.89075,0.1413698,0.33 ,1.53 ,,,
hif2a-nnp,43,54,0.15,38.44263,0.1534259,0.33 ,1.53 ,,,
hif2a-nnp,43,54,0.20 ,49.65121,0.157395,0.33 ,1.53 ,,,
hif2a-nnp,43,54,0.25,60.76557,0.1586838,0.33 ,1.53 ,,,
hif2a-nnp,43,54,0.30 ,55.55125,0.1897231,0.33 ,1.53 ,,,
hif2a-nnp,43,54,0.35 ,47.33917,0.2134178,0.33 ,1.53 ,,,
hif2a-nnp,43,54,0.4,37.83038,0.2244532,0.33 ,1.53 ,,,
hif2a-nnp,43,54,0.45 ,27.58754,0.2313651,0.33 ,1.53 ,,,
hif2a-nnp,43,54,0.5,16.78384,0.2373354,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.00 ,0,0,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.05,14.66658,0.1155805,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.10 ,27.17499,0.142562,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.15,38.69571,0.1555469,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.20 ,49.87989,0.1591795,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.25,60.98175,0.1603122,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.30 ,55.746,0.1850603,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.35 ,47.68885,0.2085921,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.4,38.37854,0.2193143,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.45 ,28.32784,0.2264985,0.33 ,1.53 ,,,
hif2a-nnp,54,43,0.5,17.70393,0.2325754,0.33 ,1.53 ,,,
hif2a-nnp,254,50,0.00 ,0,0,0.33 ,0.40 ,,,
hif2a-nnp,254,50,0.05,14.59897,0.1047233,0.33 ,0.40 ,,,
hif2a-nnp,254,50,0.10 ,27.13978,0.1338704,0.33 ,0.40 ,,,
hif2a-nnp,254,50,0.15,38.65189,0.1476371,0.33 ,0.40 ,,,
hif2a-nnp,254,50,0.20 ,49.83051,0.1512575,0.33 ,0.40 ,,,
hif2a-nnp,254,50,0.25,60.92931,0.1523712,0.33 ,0.40 ,,,
hif2a-nnp,254,50,0.30 ,56.03326,0.1740735,0.33 ,0.40 ,,,
hif2a-nnp,254,50,0.35 ,48.55814,0.1974558,0.33 ,0.40 ,,,
hif2a-nnp,254,50,0.4,39.85478,0.2089147,0.33 ,0.40 ,,,
hif2a-nnp,254,50,0.45 ,30.34331,0.2173463,0.33 ,0.40 ,,,
hif2a-nnp,254,50,0.5,20.0946,0.2259103,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.00 ,0,0,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.05,15.13491,0.110353,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.10 ,28.1886,0.138753,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.15,39.96172,0.1569932,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.20 ,51.20214,0.1622638,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.25,62.32704,0.163691,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.30 ,57.63437,0.1877192,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.35 ,50.02761,0.212658,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.4,40.84374,0.2269489,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.45 ,30.60351,0.2367376,0.33 ,0.40 ,,,
hif2a-nnp,50,254,0.5,19.54538,0.2448612,0.33 ,0.40 ,,,
hif2a-nnp,1,15,0.00 ,0,0,0.35 ,1.40 ,,,
hif2a-nnp,1,15,0.05,15.46962,0.1663874,0.35 ,1.40 ,,,
hif2a-nnp,1,15,0.10 ,28.06363,0.1893451,0.35 ,1.40 ,,,
hif2a-nnp,1,15,0.15,39.60679,0.1995523,0.35 ,1.40 ,,,
hif2a-nnp,1,15,0.20 ,50.79504,0.2024307,0.35 ,1.40 ,,,
hif2a-nnp,1,15,0.25,61.8985,0.2033244,0.35 ,1.40 ,,,
hif2a-nnp,1,15,0.30 ,56.11973,0.2391632,0.35 ,1.40 ,,,
hif2a-nnp,1,15,0.35,47.25969,0.2553597,0.35 ,1.40 ,,,
hif2a-nnp,1,15,0.40 ,37.37487,0.2628168,0.35 ,1.40 ,,,
hif2a-nnp,1,15,0.45,26.89759,0.2673777,0.35 ,1.40 ,,,
hif2a-nnp,1,15,0.50 ,15.97567,0.2715556,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0,0,0,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0.05 ,14.46246,0.1199894,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0.1,26.60622,0.1470137,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0.15 ,37.93251,0.1561552,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0.2,49.05429,0.1584341,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0.25 ,60.12546,0.1591942,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0.3,54.04794,0.1851812,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0.35 ,45.32252,0.2034975,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0.40 ,35.67895,0.2111066,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0.45,25.4958,0.2168045,0.35 ,1.40 ,,,
hif2a-nnp,15,1,0.50 ,14.85287,0.2224936,0.35 ,1.40 ,,,
hif2a-nnp,156,167,0.00 ,0,0,0.37 ,0.29 ,,,
hif2a-nnp,156,167,0.05,15.59519,0.1466525,0.37 ,0.29 ,,,
hif2a-nnp,156,167,0.10 ,28.50898,0.1698577,0.37 ,0.29 ,,,
hif2a-nnp,156,167,0.15,40.4414,0.1815047,0.37 ,0.29 ,,,
hif2a-nnp,156,167,0.20 ,51.78175,0.1878622,0.37 ,0.29 ,,,
hif2a-nnp,156,167,0.25,62.93454,0.189775,0.37 ,0.29 ,,,
hif2a-nnp,156,167,0.30 ,57.83659,0.2224035,0.37 ,0.29 ,,,
hif2a-nnp,156,167,0.35,49.52201,0.2436278,0.37 ,0.29 ,,,
hif2a-nnp,156,167,0.40 ,39.91139,0.2534908,0.37 ,0.29 ,,,
hif2a-nnp,156,167,0.45 ,29.56639,0.2594147,0.37 ,0.29 ,,,
hif2a-nnp,156,167,0.5,18.65362,0.2648922,0.37 ,0.29 ,,,
hif2a-nnp,167,156,0.00 ,0,0,0.37 ,0.29 ,,,
