protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
p38-nnp,2ee,3fln,0.00 ,0,0,0.35 ,1.46 ,,,
p38-nnp,2ee,3fln,0.05,15.90094,0.1179541,0.35 ,1.46 ,,,
p38-nnp,2ee,3fln,0.10 ,29.28713,0.1501872,0.35 ,1.46 ,,,
p38-nnp,2ee,3fln,0.15,41.18668,0.1705222,0.35 ,1.46 ,,,
p38-nnp,2ee,3fln,0.20 ,52.44927,0.176308,0.35 ,1.46 ,,,
p38-nnp,2ee,3fln,0.25,63.57539,0.1778219,0.35 ,1.46 ,,,
p38-nnp,2ee,3fln,0.30 ,58.41043,0.2011184,0.35 ,1.46 ,,,
p38-nnp,2ee,3fln,0.35,50.46315,0.2215738,0.35 ,1.46 ,,,
p38-nnp,2ee,3fln,0.40 ,41.28557,0.2317807,0.35 ,1.46 ,,,
p38-nnp,2ee,3fln,0.45 ,31.32427,0.2389882,0.35 ,1.46 ,,,
p38-nnp,2ee,3fln,0.5,20.74011,0.2454034,0.35 ,1.46 ,,,
p38-nnp,3fln,2ee,0.00 ,0,0,0.35 ,1.46 ,,,
p38-nnp,3fln,2ee,0.05,16.05071,0.1044195,0.35 ,1.46 ,,,
p38-nnp,3fln,2ee,0.10 ,29.62624,0.1400393,0.35 ,1.46 ,,,
p38-nnp,3fln,2ee,0.15,41.64355,0.163633,0.35 ,1.46 ,,,
p38-nnp,3fln,2ee,0.20 ,52.91477,0.1709693,0.35 ,1.46 ,,,
p38-nnp,3fln,2ee,0.25,64.03828,0.1725567,0.35 ,1.46 ,,,
p38-nnp,3fln,2ee,0.30 ,58.85284,0.1985945,0.35 ,1.46 ,,,
p38-nnp,3fln,2ee,0.35,50.82028,0.2203512,0.35 ,1.46 ,,,
p38-nnp,3fln,2ee,0.40 ,41.50397,0.2312073,0.35 ,1.46 ,,,
p38-nnp,3fln,2ee,0.45 ,31.38927,0.2386096,0.35 ,1.46 ,,,
