protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
pfkfb3-nnp,m26,m70,0.00 ,0,0,0.35 ,1.99 ,,,
pfkfb3-nnp,m26,m70,0.05,15.71227,0.1350008,0.35 ,1.99 ,,,
pfkfb3-nnp,m26,m70,0.10 ,28.8786,0.1621611,0.35 ,1.99 ,,,
pfkfb3-nnp,m26,m70,0.15,40.66232,0.1790099,0.35 ,1.99 ,,,
pfkfb3-nnp,m26,m70,0.20 ,51.89555,0.1834425,0.35 ,1.99 ,,,
pfkfb3-nnp,m26,m70,0.25,63.01628,0.184646,0.35 ,1.99 ,,,
pfkfb3-nnp,m26,m70,0.30 ,58.09227,0.2096639,0.35 ,1.99 ,,,
pfkfb3-nnp,m26,m70,0.35 ,50.36628,0.2292557,0.35 ,1.99 ,,,
pfkfb3-nnp,m26,m70,0.4,41.19658,0.2416094,0.35 ,1.99 ,,,
pfkfb3-nnp,m26,m70,0.45 ,30.9628,0.2510819,0.35 ,1.99 ,,,
pfkfb3-nnp,m26,m70,0.5,19.89294,0.2590608,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.00 ,0,0,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.05,15.80237,0.1199683,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.10 ,29.12858,0.1472605,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.15,41.33174,0.1632533,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.20 ,52.74981,0.1726024,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.25,63.92188,0.1751964,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.3,59.81318,0.1929802,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.35,53.11449,0.2189912,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.4,44.82212,0.2322673,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.45 ,35.52985,0.2416762,0.35 ,1.99 ,,,
pfkfb3-nnp,m70,m26,0.5,25.38072,0.2502752,0.35 ,1.99 ,,,
pfkfb3-nnp,m48,m47,0.00 ,0,0,0.34 ,1.15 ,,,
pfkfb3-nnp,m48,m47,0.05,15.927,0.1383461,0.34 ,1.15 ,,,
pfkfb3-nnp,m48,m47,0.10 ,28.64433,0.1722799,0.34 ,1.15 ,,,
pfkfb3-nnp,m48,m47,0.15,40.07527,0.1842291,0.34 ,1.15 ,,,
pfkfb3-nnp,m48,m47,0.20 ,51.21394,0.1865461,0.34 ,1.15 ,,,
pfkfb3-nnp,m48,m47,0.25,62.29351,0.1872432,0.34 ,1.15 ,,,
pfkfb3-nnp,m48,m47,0.30 ,56.44414,0.2096647,0.34 ,1.15 ,,,
pfkfb3-nnp,m48,m47,0.35,47.89328,0.2292979,0.34 ,1.15 ,,,
pfkfb3-nnp,m48,m47,0.40 ,38.19076,0.2379602,0.34 ,1.15 ,,,
pfkfb3-nnp,m48,m47,0.45 ,27.88562,0.2429942,0.34 ,1.15 ,,,
pfkfb3-nnp,m48,m47,0.5,17.16517,0.2473849,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.00 ,0,0,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.05,15.36792,0.1109949,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.10 ,28.31124,0.1449367,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.15,39.89042,0.1631613,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.20 ,51.04402,0.1670744,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.25,62.12025,0.1680155,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.30 ,55.87708,0.1978897,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.35,46.95906,0.2149588,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.4,37.09463,0.2230877,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.45 ,26.6201,0.2289293,0.34 ,1.15 ,,,
pfkfb3-nnp,m47,m48,0.5,15.68937,0.2340253,0.34 ,1.15 ,,,
pfkfb3-nnp,m57,m70,0.00 ,0,0,0.34 ,1.21 ,,,
pfkfb3-nnp,m57,m70,0.05,15.36918,0.1290251,0.34 ,1.21 ,,,
pfkfb3-nnp,m57,m70,0.10 ,27.96623,0.1639099,0.34 ,1.21 ,,,
pfkfb3-nnp,m57,m70,0.15,39.32583,0.1756127,0.34 ,1.21 ,,,
pfkfb3-nnp,m57,m70,0.20 ,50.44463,0.1775238,0.34 ,1.21 ,,,
pfkfb3-nnp,m57,m70,0.25,61.51712,0.1781018,0.34 ,1.21 ,,,
pfkfb3-nnp,m57,m70,0.30 ,55.64656,0.2043584,0.34 ,1.21 ,,,
pfkfb3-nnp,m57,m70,0.35,47.03229,0.2228889,0.34 ,1.21 ,,,
pfkfb3-nnp,m57,m70,0.40 ,37.42956,0.2307951,0.34 ,1.21 ,,,
pfkfb3-nnp,m57,m70,0.45 ,27.18008,0.2370569,0.34 ,1.21 ,,,
pfkfb3-nnp,m57,m70,0.5,16.41449,0.242541,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.00 ,0,0,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.05,16.81718,0.111404,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.10 ,29.38296,0.1594356,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.15,40.70873,0.1689816,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.20 ,51.83154,0.1710822,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.25,62.90535,0.1717739,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.30 ,57.01428,0.1964248,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.35,48.45552,0.2149595,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.4,38.85001,0.2237521,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.45 ,28.57554,0.2301041,0.34 ,1.21 ,,,
pfkfb3-nnp,m70,m57,0.5,17.79803,0.2355453,0.34 ,1.21 ,,,
pfkfb3-nnp,m65,m63,0.00 ,0,0,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m63,0.05,15.69508,0.1245302,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m63,0.10 ,28.42959,0.1634468,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m63,0.15,39.77897,0.1764525,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m63,0.20 ,50.87915,0.1783253,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m63,0.25,61.93836,0.1788002,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m63,0.30 ,55.68825,0.2006647,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m63,0.35,46.83794,0.2189763,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m63,0.40 ,36.96425,0.2276795,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m63,0.45 ,26.52709,0.2328519,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m63,0.5,15.68834,0.2371934,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.00 ,0,0,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.05,15.58011,0.1081671,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.10 ,28.43254,0.1510642,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.15,39.82777,0.1654469,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.20 ,50.94124,0.1676907,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.25,62.00466,0.1683145,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.30 ,55.41863,0.1949282,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.35,46.33088,0.2103525,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.4,36.4504,0.2171469,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.45 ,26.04343,0.2228075,0.33 ,1.40 ,,,
pfkfb3-nnp,m63,m65,0.5,15.21523,0.2276509,0.33 ,1.40 ,,,
pfkfb3-nnp,m65,m34,0.00 ,0,0,0.36 ,1.20 ,,,
pfkfb3-nnp,m65,m34,0.05,16.66547,0.09393239,0.36 ,1.20 ,,,
pfkfb3-nnp,m65,m34,0.10 ,30.53581,0.1384783,0.36 ,1.20 ,,,
pfkfb3-nnp,m65,m34,0.15,42.97792,0.1570532,0.36 ,1.20 ,,,
pfkfb3-nnp,m65,m34,0.20 ,54.53704,0.1690289,0.36 ,1.20 ,,,
pfkfb3-nnp,m65,m34,0.25,65.74891,0.1729796,0.36 ,1.20 ,,,
pfkfb3-nnp,m65,m34,0.30 ,61.53434,0.1961873,0.36 ,1.20 ,,,
pfkfb3-nnp,m65,m34,0.35,54.42006,0.2232999,0.36 ,1.20 ,,,
pfkfb3-nnp,m65,m34,0.40 ,45.55519,0.2372775,0.36 ,1.20 ,,,
pfkfb3-nnp,m65,m34,0.45 ,35.72528,0.2455702,0.36 ,1.20 ,,,
pfkfb3-nnp,m65,m34,0.5,25.13534,0.2531399,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.00 ,0,0,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.05,17.09417,0.08698155,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.10 ,31.3492,0.1406429,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.15,43.74791,0.1637119,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.20 ,55.19853,0.1738923,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.25,66.38314,0.1767343,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.30 ,62.0783,0.1985379,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.35,54.96524,0.2239581,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.4,46.19518,0.2375862,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.45 ,36.43075,0.2463111,0.36 ,1.20 ,,,
pfkfb3-nnp,m34,m65,0.5,25.85889,0.2545553,0.36 ,1.20 ,,,
pfkfb3-nnp,m67,m56,0.00 ,0,0,0.36 ,1.12 ,,,
pfkfb3-nnp,m67,m56,0.05,16.16223,0.1364929,0.36 ,1.12 ,,,
pfkfb3-nnp,m67,m56,0.10 ,29.7691,0.1602138,0.36 ,1.12 ,,,
pfkfb3-nnp,m67,m56,0.15,42.22019,0.177264,0.36 ,1.12 ,,,
pfkfb3-nnp,m67,m56,0.20 ,53.65558,0.188798,0.36 ,1.12 ,,,
pfkfb3-nnp,m67,m56,0.25,64.80859,0.191137,0.36 ,1.12 ,,,
pfkfb3-nnp,m67,m56,0.30 ,60.10313,0.2133791,0.36 ,1.12 ,,,
pfkfb3-nnp,m67,m56,0.35,52.4276,0.2373693,0.36 ,1.12 ,,,
pfkfb3-nnp,m67,m56,0.40 ,43.35347,0.2476201,0.36 ,1.12 ,,,
pfkfb3-nnp,m67,m56,0.45 ,33.5443,0.2538787,0.36 ,1.12 ,,,
pfkfb3-nnp,m67,m56,0.5,23.0847,0.2603284,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.00 ,0,0,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.05,17.32959,0.07946005,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.10 ,31.64402,0.1377922,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.15,44.1537,0.1614144,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.20 ,55.62532,0.1730311,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.25,66.79513,0.1758363,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.30 ,62.10187,0.1996958,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.35,54.48832,0.2273267,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.4,45.13766,0.2405426,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.45 ,34.86341,0.2482259,0.36 ,1.12 ,,,
pfkfb3-nnp,m56,m67,0.5,23.88609,0.255078,0.36 ,1.12 ,,,
pfkfb3-nnp,m29,m63,0.00 ,0,0,0.34 ,1.07 ,,,
pfkfb3-nnp,m29,m63,0.05,16.36181,0.1113443,0.34 ,1.07 ,,,
pfkfb3-nnp,m29,m63,0.10 ,29.27352,0.1542999,0.34 ,1.07 ,,,
pfkfb3-nnp,m29,m63,0.15,40.77098,0.1684397,0.34 ,1.07 ,,,
pfkfb3-nnp,m29,m63,0.20 ,51.92612,0.1714655,0.34 ,1.07 ,,,
pfkfb3-nnp,m29,m63,0.25,63.01187,0.1722852,0.34 ,1.07 ,,,
pfkfb3-nnp,m29,m63,0.30 ,57.37128,0.1981428,0.34 ,1.07 ,,,
pfkfb3-nnp,m29,m63,0.35,48.96696,0.2188959,0.34 ,1.07 ,,,
pfkfb3-nnp,m29,m63,0.40 ,39.37736,0.2286462,0.34 ,1.07 ,,,
pfkfb3-nnp,m29,m63,0.45 ,29.04376,0.2354271,0.34 ,1.07 ,,,
pfkfb3-nnp,m29,m63,0.5,18.11436,0.2418217,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.00 ,0,0,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.05,16.72423,0.119544,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.10 ,29.47074,0.1643864,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.15,40.85392,0.1756995,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.20 ,51.98854,0.1778197,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.25,63.07196,0.1784511,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.30 ,57.6768,0.2023447,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.35,49.6803,0.2203002,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.4,40.59155,0.2300266,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.45 ,30.74697,0.2370379,0.34 ,1.07 ,,,
pfkfb3-nnp,m63,m29,0.5,20.26103,0.24366,0.34 ,1.07 ,,,
pfkfb3-nnp,m35,m69,0,0,0,0.34 ,1.85 ,,,
pfkfb3-nnp,m35,m69,0.05,15.83531,0.13521,0.34 ,1.85 ,,,
pfkfb3-nnp,m35,m69,0.10 ,28.26568,0.1735283,0.34 ,1.85 ,,,
pfkfb3-nnp,m35,m69,0.15,39.53699,0.1824593,0.34 ,1.85 ,,,
pfkfb3-nnp,m35,m69,0.20 ,50.62812,0.1840084,0.34 ,1.85 ,,,
pfkfb3-nnp,m35,m69,0.25,61.68199,0.1844898,0.34 ,1.85 ,,,
pfkfb3-nnp,m35,m69,0.30 ,55.03384,0.2071961,0.34 ,1.85 ,,,
pfkfb3-nnp,m35,m69,0.35,45.91959,0.2225712,0.34 ,1.85 ,,,
pfkfb3-nnp,m35,m69,0.40 ,35.92644,0.2299461,0.34 ,1.85 ,,,
pfkfb3-nnp,m35,m69,0.45,25.40926,0.2347362,0.34 ,1.85 ,,,
pfkfb3-nnp,m35,m69,0.50 ,14.52261,0.2388259,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0,0,0,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0.05 ,16.24055,0.1394874,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0.10 ,28.71842,0.1774357,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0.15,39.99477,0.1871486,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0.20 ,51.08294,0.1886373,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0.25,62.13736,0.1890502,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0.30 ,55.64717,0.2086018,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0.35,46.72105,0.2244777,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0.40 ,36.86045,0.232004,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0.45,26.50958,0.2362827,0.34 ,1.85 ,,,
pfkfb3-nnp,m69,m35,0.50 ,15.7951,0.240237,0.34 ,1.85 ,,,
pfkfb3-nnp,m65,m20,0,0,0,0.35 ,1.32 ,,,
pfkfb3-nnp,m65,m20,0.05,16.21492,0.106319,0.35 ,1.32 ,,,
pfkfb3-nnp,m65,m20,0.10 ,29.95634,0.1388832,0.35 ,1.32 ,,,
pfkfb3-nnp,m65,m20,0.15,42.28433,0.1620022,0.35 ,1.32 ,,,
pfkfb3-nnp,m65,m20,0.20 ,53.59855,0.172321,0.35 ,1.32 ,,,
pfkfb3-nnp,m65,m20,0.25,64.71128,0.1738739,0.35 ,1.32 ,,,
pfkfb3-nnp,m65,m20,0.30 ,59.69704,0.1995987,0.35 ,1.32 ,,,
pfkfb3-nnp,m65,m20,0.35,51.77431,0.2214489,0.35 ,1.32 ,,,
pfkfb3-nnp,m65,m20,0.40 ,42.54462,0.2324574,0.35 ,1.32 ,,,
