protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0,0,0,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0.05 ,15.15942,0.1028353,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0.1,28.16592,0.1343771,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0.15 ,39.90116,0.1532299,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0.2,51.12193,0.1586247,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0.25,62.23396,0.1599661,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0.30 ,57.41658,0.1835859,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0.35,49.89235,0.2074788,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0.40 ,40.87155,0.2214087,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0.45,30.90264,0.2301704,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265021,CHEMBL3265024,0.50 ,20.1514,0.23847,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265024,CHEMBL3265021,0,0,0,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265024,CHEMBL3265021,0.05 ,14.65288,0.1058002,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265024,CHEMBL3265021,0.1,27.20711,0.1365702,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265024,CHEMBL3265021,0.15 ,38.73258,0.1506585,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265024,CHEMBL3265021,0.2,49.92913,0.1545648,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265024,CHEMBL3265021,0.25 ,61.04002,0.1558297,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265024,CHEMBL3265021,0.30 ,56.32479,0.177929,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265024,CHEMBL3265021,0.35,49.02796,0.2013006,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265024,CHEMBL3265021,0.40 ,40.34186,0.2147707,0.33 ,0.94 ,,,
syk-nnp,CHEMBL3265024,CHEMBL3265021,0.45,30.67785,0.2244725,0.33 ,0.94 ,,,
