protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
thrombin,1b,7a,0,0,0,0.809829,1.258057,,,
thrombin,1b,7a,0.05,18.5345,0.1218175,0.809829,1.258057,,,
thrombin,1b,7a,0.1,33.45483,0.33998,0.809829,1.258057,,,
thrombin,1b,7a,0.15,45.99823,0.394036,0.809829,1.258057,,,
thrombin,1b,7a,0.2,57.34718,0.4180435,0.809829,1.258057,,,
thrombin,1b,7a,0.25,68.45023,0.4216684,0.809829,1.258057,,,
thrombin,1b,7a,0.3,63.05623,0.496769,0.809829,1.258057,,,
thrombin,1b,7a,0.35,54.57989,0.538473,0.809829,1.258057,,,
thrombin,1b,7a,0.4,44.9707,0.5578121,0.809829,1.258057,,,
thrombin,1b,7a,0.45,34.66855,0.5707715,0.809829,1.258057,,,
thrombin,1b,7a,0.5,23.83347,0.5833011,0.809829,1.258057,,,
thrombin,7a,1b,0,0,0,0.809829,1.258057,,,
thrombin,7a,1b,0.05,18.45658,0.1135049,0.809829,1.258057,,,
thrombin,7a,1b,0.1,32.90879,0.3307829,0.809829,1.258057,,,
thrombin,7a,1b,0.15,45.0887,0.3817573,0.809829,1.258057,,,
thrombin,7a,1b,0.2,56.38545,0.401261,0.809829,1.258057,,,
thrombin,7a,1b,0.25,67.4962,0.4050342,0.809829,1.258057,,,
thrombin,7a,1b,0.3,62.21263,0.4770247,0.809829,1.258057,,,
thrombin,7a,1b,0.35,53.6518,0.5238264,0.809829,1.258057,,,
thrombin,7a,1b,0.4,43.9151,0.5409534,0.809829,1.258057,,,
thrombin,7a,1b,0.45,33.59524,0.551286,0.809829,1.258057,,,
thrombin,7a,1b,0.5,22.81541,0.5617679,0.809829,1.258057,,,
thrombin,1d,1c,0,0,0,0.793546,0.770647,,,
thrombin,1d,1c,0.05,18.27752,0.1205937,0.793546,0.770647,,,
thrombin,1d,1c,0.1,32.86139,0.3799756,0.793546,0.770647,,,
thrombin,1d,1c,0.15,44.66482,0.427863,0.793546,0.770647,,,
thrombin,1d,1c,0.2,55.86024,0.4353887,0.793546,0.770647,,,
thrombin,1d,1c,0.25,66.96506,0.4373696,0.793546,0.770647,,,
thrombin,1d,1c,0.3,61.29858,0.4810921,0.793546,0.770647,,,
thrombin,1d,1c,0.35,52.83955,0.5315572,0.793546,0.770647,,,
thrombin,1d,1c,0.4,43.05478,0.5512725,0.793546,0.770647,,,
thrombin,1d,1c,0.45,32.6682,0.5621172,0.793546,0.770647,,,
thrombin,1d,1c,0.5,21.7786,0.5760281,0.793546,0.770647,,,
thrombin,1c,1d,0,0,0,0.793546,0.770647,,,
thrombin,1c,1d,0.05,18.31066,0.1247602,0.793546,0.770647,,,
thrombin,1c,1d,0.1,32.69966,0.3113966,0.793546,0.770647,,,
thrombin,1c,1d,0.15,44.88043,0.3670025,0.793546,0.770647,,,
thrombin,1c,1d,0.2,56.1734,0.3852686,0.793546,0.770647,,,
thrombin,1c,1d,0.25,67.28579,0.3891619,0.793546,0.770647,,,
thrombin,1c,1d,0.3,61.63789,0.4488997,0.793546,0.770647,,,
thrombin,1c,1d,0.35,53.26251,0.502791,0.793546,0.770647,,,
thrombin,1c,1d,0.4,43.52165,0.5257747,0.793546,0.770647,,,
thrombin,1c,1d,0.45,33.09724,0.5369661,0.793546,0.770647,,,
thrombin,1c,1d,0.5,22.23925,0.5458089,0.793546,0.770647,,,
thrombin,1b,3b,0,0,0,0.876808,0.737126,,,
thrombin,1b,3b,0.05,18.21599,0.1259909,0.876808,0.737126,,,
thrombin,1b,3b,0.1,33.08794,0.3326558,0.876808,0.737126,,,
thrombin,1b,3b,0.15,45.65161,0.3903167,0.876808,0.737126,,,
thrombin,1b,3b,0.2,57.01772,0.4178961,0.876808,0.737126,,,
thrombin,1b,3b,0.25,68.13178,0.4219628,0.876808,0.737126,,,
thrombin,1b,3b,0.3,63.08777,0.489768,0.876808,0.737126,,,
thrombin,1b,3b,0.35,54.83322,0.5393711,0.876808,0.737126,,,
thrombin,1b,3b,0.4,45.20724,0.5607231,0.876808,0.737126,,,
thrombin,1b,3b,0.45,34.90758,0.5727845,0.876808,0.737126,,,
thrombin,1b,3b,0.5,24.0714,0.5857017,0.876808,0.737126,,,
thrombin,3b,1b,0,0,0,0.876808,0.737126,,,
thrombin,3b,1b,0.05,18.49043,0.1000806,0.876808,0.737126,,,
thrombin,3b,1b,0.1,33.4837,0.4651852,0.876808,0.737126,,,
thrombin,3b,1b,0.15,45.57451,0.5060778,0.876808,0.737126,,,
thrombin,3b,1b,0.2,56.8487,0.518563,0.876808,0.737126,,,
thrombin,3b,1b,0.25,67.95264,0.5209664,0.876808,0.737126,,,
thrombin,3b,1b,0.3,62.45744,0.5800957,0.876808,0.737126,,,
thrombin,3b,1b,0.35,54.17318,0.6112977,0.876808,0.737126,,,
thrombin,3b,1b,0.4,44.80555,0.6286217,0.876808,0.737126,,,
thrombin,3b,1b,0.45,34.66408,0.6415013,0.876808,0.737126,,,
thrombin,3b,1b,0.5,23.93427,0.6524914,0.876808,0.737126,,,
thrombin,6a,6b,0,0,0,0.84191,1.15513,,,
thrombin,6a,6b,0.05,18.43735,0.1256583,0.84191,1.15513,,,
thrombin,6a,6b,0.1,32.81724,0.3232673,0.84191,1.15513,,,
thrombin,6a,6b,0.15,44.80651,0.3820261,0.84191,1.15513,,,
thrombin,6a,6b,0.2,56.04057,0.3950488,0.84191,1.15513,,,
thrombin,6a,6b,0.25,67.14578,0.3981644,0.84191,1.15513,,,
thrombin,6a,6b,0.3,61.75717,0.4440241,0.84191,1.15513,,,
thrombin,6a,6b,0.35,53.34392,0.4934117,0.84191,1.15513,,,
thrombin,6a,6b,0.4,43.68002,0.5154563,0.84191,1.15513,,,
thrombin,6a,6b,0.45,33.39371,0.5290448,0.84191,1.15513,,,
thrombin,6a,6b,0.5,22.6367,0.5405719,0.84191,1.15513,,,
thrombin,6b,6a,0,0,0,0.84191,1.15513,,,
thrombin,6b,6a,0.05,18.46165,0.09483354,0.84191,1.15513,,,
thrombin,6b,6a,0.1,33.39947,0.4805194,0.84191,1.15513,,,
thrombin,6b,6a,0.15,45.486,0.5155278,0.84191,1.15513,,,
thrombin,6b,6a,0.2,56.77652,0.5270638,0.84191,1.15513,,,
thrombin,6b,6a,0.25,67.88931,0.5298345,0.84191,1.15513,,,
thrombin,6b,6a,0.3,61.73873,0.5776489,0.84191,1.15513,,,
thrombin,6b,6a,0.35,52.91387,0.6100315,0.84191,1.15513,,,
thrombin,6b,6a,0.4,43.08119,0.6247273,0.84191,1.15513,,,
thrombin,6b,6a,0.45,32.68825,0.6342782,0.84191,1.15513,,,
thrombin,6b,6a,0.5,21.77157,0.6454409,0.84191,1.15513,,,
thrombin,1a,3b,0,0,0,0.848385,0.19641,,,
thrombin,1a,3b,0.05,18.63281,0.1025253,0.848385,0.19641,,,
