protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
tnks2-nnp,m5b,m5n,0.00 ,0,0,0.35 ,1.71 ,,,
tnks2-nnp,m5b,m5n,0.05 ,16.21684,0.09926785,0.35 ,1.71 ,,,
tnks2-nnp,m5b,m5n,0.1,30.08108,0.1340653,0.35 ,1.71 ,,,
tnks2-nnp,m5b,m5n,0.15 ,42.58316,0.1556145,0.35 ,1.71 ,,,
tnks2-nnp,m5b,m5n,0.2,54.04568,0.1684954,0.35 ,1.71 ,,,
tnks2-nnp,m5b,m5n,0.25 ,65.21475,0.1712652,0.35 ,1.71 ,,,
tnks2-nnp,m5b,m5n,0.3,60.7845,0.1957714,0.35 ,1.71 ,,,
tnks2-nnp,m5b,m5n,0.35 ,53.34574,0.2233576,0.35 ,1.71 ,,,
tnks2-nnp,m5b,m5n,0.4,44.22073,0.237075,0.35 ,1.71 ,,,
tnks2-nnp,m5b,m5n,0.45 ,34.14047,0.2451347,0.35 ,1.71 ,,,
tnks2-nnp,m5b,m5n,0.5,23.38617,0.2520155,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0,0,0,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0.05 ,15.51194,0.1125397,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0.1,28.72017,0.142476,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0.15 ,40.61768,0.1612472,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0.2,51.88582,0.1677656,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0.25 ,63.0129,0.1693503,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0.3,58.44497,0.1934436,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0.35 ,50.94463,0.2182456,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0.4,41.92937,0.2316729,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0.45 ,32.00798,0.2395689,0.35 ,1.71 ,,,
tnks2-nnp,m5n,m5b,0.5,21.43981,0.2457814,0.35 ,1.71 ,,,
tnks2-nnp,m5l,m5p,0,0,0,0.35 ,0.89 ,,,
tnks2-nnp,m5l,m5p,0.05 ,16.89599,0.09516399,0.35 ,0.89 ,,,
tnks2-nnp,m5l,m5p,0.10 ,30.96394,0.1376794,0.35 ,0.89 ,,,
tnks2-nnp,m5l,m5p,0.15,43.4069,0.1616124,0.35 ,0.89 ,,,
tnks2-nnp,m5l,m5p,0.20 ,54.84972,0.1731341,0.35 ,0.89 ,,,
tnks2-nnp,m5l,m5p,0.25,66.01606,0.175881,0.35 ,0.89 ,,,
tnks2-nnp,m5l,m5p,0.30 ,61.44809,0.1987115,0.35 ,0.89 ,,,
tnks2-nnp,m5l,m5p,0.35,53.77126,0.2274819,0.35 ,0.89 ,,,
tnks2-nnp,m5l,m5p,0.40 ,44.46087,0.2399441,0.35 ,0.89 ,,,
tnks2-nnp,m5l,m5p,0.45,34.29852,0.247177,0.35 ,0.89 ,,,
tnks2-nnp,m5l,m5p,0.50 ,23.50402,0.2533962,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0,0,0,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0.05,16.20659,0.1031617,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0.10 ,29.99159,0.1374718,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0.15,42.27095,0.1621201,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0.20 ,53.61201,0.1725002,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0.25,64.75165,0.1745045,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0.30 ,59.83669,0.2008072,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0.35,52.01808,0.2236951,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0.40 ,42.838,0.2346362,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0.45,32.84597,0.2419013,0.35 ,0.89 ,,,
tnks2-nnp,m5p,m5l,0.50 ,22.20163,0.2485265,0.35 ,0.89 ,,,
tnks2-nnp,m3a,m3b,0.00 ,0,0,0.31 ,0.86 ,,,
tnks2-nnp,m3a,m3b,0.05,14.11148,0.1531823,0.31 ,0.86 ,,,
tnks2-nnp,m3a,m3b,0.10 ,25.63061,0.1724452,0.31 ,0.86 ,,,
tnks2-nnp,m3a,m3b,0.15 ,36.75777,0.1752194,0.31 ,0.86 ,,,
tnks2-nnp,m3a,m3b,0.2,47.8157,0.1759203,0.31 ,0.86 ,,,
tnks2-nnp,m3a,m3b,0.25 ,58.85392,0.1762016,0.31 ,0.86 ,,,
tnks2-nnp,m3a,m3b,0.3,51.56,0.1949773,0.31 ,0.86 ,,,
tnks2-nnp,m3a,m3b,0.35 ,42.06865,0.2082072,0.31 ,0.86 ,,,
tnks2-nnp,m3a,m3b,0.4,31.87291,0.2142799,0.31 ,0.86 ,,,
tnks2-nnp,m3a,m3b,0.45 ,21.26178,0.218522,0.31 ,0.86 ,,,
tnks2-nnp,m3a,m3b,0.5,10.33192,0.222535,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.00 ,0,0,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.05,14.03413,0.1548519,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.1,25.54282,0.1735509,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.15 ,36.68553,0.1762761,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.2,47.75424,0.1770565,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.25 ,58.79944,0.1773919,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.3,51.40977,0.1954626,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.35 ,41.95789,0.20686,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.4,31.88453,0.2125257,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.45 ,21.4262,0.2165033,0.31 ,0.86 ,,,
tnks2-nnp,m3b,m3a,0.5,10.67041,0.2201992,0.31 ,0.86 ,,,
tnks2-nnp,m5p,m5n,0.00 ,0,0,0.34 ,0.29 ,,,
tnks2-nnp,m5p,m5n,0.05,16.86337,0.1061735,0.34 ,0.29 ,,,
tnks2-nnp,m5p,m5n,0.10 ,30.26804,0.155856,0.34 ,0.29 ,,,
tnks2-nnp,m5p,m5n,0.15 ,41.88207,0.1749779,0.34 ,0.29 ,,,
tnks2-nnp,m5p,m5n,0.2,53.05437,0.1784864,0.34 ,0.29 ,,,
tnks2-nnp,m5p,m5n,0.25 ,64.1451,0.17941,0.34 ,0.29 ,,,
tnks2-nnp,m5p,m5n,0.3,58.35118,0.2054828,0.34 ,0.29 ,,,
tnks2-nnp,m5p,m5n,0.35 ,49.81039,0.224517,0.34 ,0.29 ,,,
tnks2-nnp,m5p,m5n,0.4,40.12392,0.2341958,0.34 ,0.29 ,,,
tnks2-nnp,m5p,m5n,0.45 ,29.7863,0.2398897,0.34 ,0.29 ,,,
tnks2-nnp,m5p,m5n,0.5,18.98473,0.2447345,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.00 ,0,0,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.05,16.93202,0.1008984,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.1,30.30779,0.1527667,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.15 ,41.89714,0.1721427,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.2,53.05748,0.1755339,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.25 ,64.14435,0.1763739,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.3,58.46211,0.1990686,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.35 ,50.00129,0.2204226,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.4,40.2948,0.2305666,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.45 ,29.89782,0.2365859,0.34 ,0.29 ,,,
tnks2-nnp,m5n,m5p,0.5,19.06058,0.2411444,0.34 ,0.29 ,,,
tnks2-nnp,m5b,m5o,0.00 ,0,0,0.61 ,0.96 ,,,
tnks2-nnp,m5b,m5o,0.05,19.1141,0.02207763,0.61 ,0.96 ,,,
tnks2-nnp,m5b,m5o,0.10 ,37.90358,0.0433134,0.61 ,0.96 ,,,
tnks2-nnp,m5b,m5o,0.15 ,56.2344,0.0664771,0.61 ,0.96 ,,,
tnks2-nnp,m5b,m5o,0.2,72.75609,0.1389545,0.61 ,0.96 ,,,
tnks2-nnp,m5b,m5o,0.25 ,87.48869,0.1526739,0.61 ,0.96 ,,,
tnks2-nnp,m5b,m5o,0.3,87.44752,0.152817,0.61 ,0.96 ,,,
tnks2-nnp,m5b,m5o,0.35 ,87.40526,0.1529657,0.61 ,0.96 ,,,
tnks2-nnp,m5b,m5o,0.4,87.34503,0.1533659,0.61 ,0.96 ,,,
tnks2-nnp,m5b,m5o,0.45 ,82.05989,0.4401105,0.61 ,0.96 ,,,
tnks2-nnp,m5b,m5o,0.5,72.34029,0.4527429,0.61 ,0.96 ,,,
tnks2-nnp,m5o,m5b,0.00 ,0,0,0.61 ,0.96 ,,,
tnks2-nnp,m5o,m5b,0.05,19.01282,0.02517948,0.61 ,0.96 ,,,
tnks2-nnp,m5o,m5b,0.1,37.65567,0.04749469,0.61 ,0.96 ,,,
tnks2-nnp,m5o,m5b,0.15 ,55.36133,0.09402564,0.61 ,0.96 ,,,
tnks2-nnp,m5o,m5b,0.2,70.63851,0.134075,0.61 ,0.96 ,,,
tnks2-nnp,m5o,m5b,0.25 ,84.88401,0.1421959,0.61 ,0.96 ,,,
tnks2-nnp,m5o,m5b,0.3,84.82493,0.1423991,0.61 ,0.96 ,,,
tnks2-nnp,m5o,m5b,0.35 ,84.76453,0.1426077,0.61 ,0.96 ,,,
