protein,ligand1,ligand2,lambdai
CDK2,1oiu,1h1q,0.5
CDK2,1oiu,1h1q,0.499
CDK2,1oiu,1h1q,0.498
CDK2,1oiu,1h1q,0.497
CDK2,1oiu,1h1q,0.496
CDK2,1oiu,1h1q,0.495
CDK2,1oiu,1h1q,0.494
CDK2,1oiu,1h1q,0.493
CDK2,1oiu,1h1q,0.492
CDK2,1oiu,1h1q,0.491
CDK2,1oiu,1h1q,0.49
CDK2,1oiu,1h1q,0.489
CDK2,1oiu,1h1q,0.488
CDK2,1oiu,1h1q,0.487
CDK2,1oiu,1h1q,0.486
CDK2,1oiu,1h1q,0.485
CDK2,1oiu,1h1q,0.484
CDK2,1oiu,1h1q,0.483
CDK2,1oiu,1h1q,0.482
CDK2,1oiu,1h1q,0.481
CDK2,1oiu,1h1q,0.48
CDK2,1oiu,1h1q,0.479
CDK2,1oiu,1h1q,0.478
CDK2,1oiu,1h1q,0.477
CDK2,1oiu,1h1q,0.476
CDK2,1oiu,1h1q,0.475
CDK2,1oiu,1h1q,0.474
CDK2,1oiu,1h1q,0.473
CDK2,1oiu,1h1q,0.472
CDK2,1oiu,1h1q,0.471
CDK2,1oiu,1h1q,0.47
CDK2,1oiu,1h1q,0.469
CDK2,1oiu,1h1q,0.468
CDK2,1oiu,1h1q,0.467
CDK2,1oiu,1h1q,0.466
CDK2,1oiu,1h1q,0.465
CDK2,1oiu,1h1q,0.464
CDK2,1oiu,1h1q,0.463
CDK2,1oiu,1h1q,0.462
CDK2,1oiu,1h1q,0.461
CDK2,1oiu,1h1q,0.46
CDK2,1oiu,1h1q,0.459
CDK2,1oiu,1h1q,0.458
CDK2,1oiu,1h1q,0.457
CDK2,1oiu,1h1q,0.456
CDK2,1oiu,1h1q,0.455
CDK2,1oiu,1h1q,0.454
CDK2,1oiu,1h1q,0.453
CDK2,1oiu,1h1q,0.452
CDK2,1oiu,1h1q,0.451
CDK2,1oiu,1h1q,0.45
CDK2,1oiu,1h1q,0.449
CDK2,1oiu,1h1q,0.448
CDK2,1oiu,1h1q,0.447
CDK2,1oiu,1h1q,0.446
CDK2,1oiu,1h1q,0.445
CDK2,1oiu,1h1q,0.444
CDK2,1oiu,1h1q,0.443
CDK2,1oiu,1h1q,0.442
CDK2,1oiu,1h1q,0.441
CDK2,1oiu,1h1q,0.44
CDK2,1oiu,1h1q,0.439
CDK2,1oiu,1h1q,0.438
CDK2,1oiu,1h1q,0.437
CDK2,1oiu,1h1q,0.436
CDK2,1oiu,1h1q,0.435
CDK2,1oiu,1h1q,0.434
CDK2,1oiu,1h1q,0.433
CDK2,1oiu,1h1q,0.432
CDK2,1oiu,1h1q,0.431
CDK2,1oiu,1h1q,0.43
CDK2,1oiu,1h1q,0.429
CDK2,1oiu,1h1q,0.428
CDK2,1oiu,1h1q,0.427
CDK2,1oiu,1h1q,0.426
CDK2,1oiu,1h1q,0.425
CDK2,1oiu,1h1q,0.424
CDK2,1oiu,1h1q,0.423
CDK2,1oiu,1h1q,0.422
CDK2,1oiu,1h1q,0.421
CDK2,1oiu,1h1q,0.42
CDK2,1oiu,1h1q,0.419
CDK2,1oiu,1h1q,0.418
CDK2,1oiu,1h1q,0.417
CDK2,1oiu,1h1q,0.416
CDK2,1oiu,1h1q,0.415
CDK2,1oiu,1h1q,0.414
CDK2,1oiu,1h1q,0.413
CDK2,1oiu,1h1q,0.412
CDK2,1oiu,1h1q,0.411
CDK2,1oiu,1h1q,0.41
CDK2,1oiu,1h1q,0.409
CDK2,1oiu,1h1q,0.408
CDK2,1oiu,1h1q,0.407
CDK2,1oiu,1h1q,0.406
CDK2,1oiu,1h1q,0.405
CDK2,1oiu,1h1q,0.404
CDK2,1oiu,1h1q,0.403
CDK2,1oiu,1h1q,0.402
CDK2,1oiu,1h1q,0.401
CDK2,1oiu,1h1q,0.4
CDK2,1oiu,1h1q,0.399
CDK2,1oiu,1h1q,0.398
CDK2,1oiu,1h1q,0.397
CDK2,1oiu,1h1q,0.396
CDK2,1oiu,1h1q,0.395
CDK2,1oiu,1h1q,0.394
CDK2,1oiu,1h1q,0.393
CDK2,1oiu,1h1q,0.392
CDK2,1oiu,1h1q,0.391
CDK2,1oiu,1h1q,0.39
CDK2,1oiu,1h1q,0.389
CDK2,1oiu,1h1q,0.388
CDK2,1oiu,1h1q,0.387
CDK2,1oiu,1h1q,0.386
CDK2,1oiu,1h1q,0.385
CDK2,1oiu,1h1q,0.384
CDK2,1oiu,1h1q,0.383
CDK2,1oiu,1h1q,0.382
CDK2,1oiu,1h1q,0.381
CDK2,1oiu,1h1q,0.38
CDK2,1oiu,1h1q,0.379
CDK2,1oiu,1h1q,0.378
CDK2,1oiu,1h1q,0.377
CDK2,1oiu,1h1q,0.376
CDK2,1oiu,1h1q,0.375
CDK2,1oiu,1h1q,0.374
CDK2,1oiu,1h1q,0.373
CDK2,1oiu,1h1q,0.372
CDK2,1oiu,1h1q,0.371
CDK2,1oiu,1h1q,0.37
CDK2,1oiu,1h1q,0.369
CDK2,1oiu,1h1q,0.368
CDK2,1oiu,1h1q,0.367
CDK2,1oiu,1h1q,0.366
CDK2,1oiu,1h1q,0.365
CDK2,1oiu,1h1q,0.364
CDK2,1oiu,1h1q,0.363
CDK2,1oiu,1h1q,0.362
CDK2,1oiu,1h1q,0.361
CDK2,1oiu,1h1q,0.36
CDK2,1oiu,1h1q,0.359
CDK2,1oiu,1h1q,0.358
CDK2,1oiu,1h1q,0.357
CDK2,1oiu,1h1q,0.356
CDK2,1oiu,1h1q,0.355
CDK2,1oiu,1h1q,0.354
CDK2,1oiu,1h1q,0.353
CDK2,1oiu,1h1q,0.352
CDK2,1oiu,1h1q,0.351
CDK2,1oiu,1h1q,0.35
CDK2,1oiu,1h1q,0.349
CDK2,1oiu,1h1q,0.348
CDK2,1oiu,1h1q,0.347
CDK2,1oiu,1h1q,0.346
CDK2,1oiu,1h1q,0.345
CDK2,1oiu,1h1q,0.344
CDK2,1oiu,1h1q,0.343
CDK2,1oiu,1h1q,0.342
CDK2,1oiu,1h1q,0.341
CDK2,1oiu,1h1q,0.34
CDK2,1oiu,1h1q,0.339
CDK2,1oiu,1h1q,0.338
CDK2,1oiu,1h1q,0.337
CDK2,1oiu,1h1q,0.336
CDK2,1oiu,1h1q,0.335
CDK2,1oiu,1h1q,0.334
CDK2,1oiu,1h1q,0.333
CDK2,1oiu,1h1q,0.332
CDK2,1oiu,1h1q,0.331
CDK2,1oiu,1h1q,0.33
CDK2,1oiu,1h1q,0.329
CDK2,1oiu,1h1q,0.328
CDK2,1oiu,1h1q,0.327
CDK2,1oiu,1h1q,0.326
CDK2,1oiu,1h1q,0.325
CDK2,1oiu,1h1q,0.324
CDK2,1oiu,1h1q,0.323
CDK2,1oiu,1h1q,0.322
CDK2,1oiu,1h1q,0.321
CDK2,1oiu,1h1q,0.32
CDK2,1oiu,1h1q,0.319
CDK2,1oiu,1h1q,0.318
CDK2,1oiu,1h1q,0.317
CDK2,1oiu,1h1q,0.316
CDK2,1oiu,1h1q,0.315
CDK2,1oiu,1h1q,0.314
CDK2,1oiu,1h1q,0.313
CDK2,1oiu,1h1q,0.312
CDK2,1oiu,1h1q,0.311
CDK2,1oiu,1h1q,0.31
CDK2,1oiu,1h1q,0.309
CDK2,1oiu,1h1q,0.308
CDK2,1oiu,1h1q,0.307
CDK2,1oiu,1h1q,0.306
CDK2,1oiu,1h1q,0.305
CDK2,1oiu,1h1q,0.304
CDK2,1oiu,1h1q,0.303
CDK2,1oiu,1h1q,0.302
CDK2,1oiu,1h1q,0.301
CDK2,1oiu,1h1q,0.3
CDK2,1oiu,1h1q,0.299
CDK2,1oiu,1h1q,0.298
CDK2,1oiu,1h1q,0.297
CDK2,1oiu,1h1q,0.296
CDK2,1oiu,1h1q,0.295
CDK2,1oiu,1h1q,0.294
CDK2,1oiu,1h1q,0.293
CDK2,1oiu,1h1q,0.292
CDK2,1oiu,1h1q,0.291
CDK2,1oiu,1h1q,0.29
CDK2,1oiu,1h1q,0.289
CDK2,1oiu,1h1q,0.288
CDK2,1oiu,1h1q,0.287
CDK2,1oiu,1h1q,0.286
CDK2,1oiu,1h1q,0.285
CDK2,1oiu,1h1q,0.284
CDK2,1oiu,1h1q,0.283
CDK2,1oiu,1h1q,0.282
CDK2,1oiu,1h1q,0.281
CDK2,1oiu,1h1q,0.28
CDK2,1oiu,1h1q,0.279
CDK2,1oiu,1h1q,0.278
CDK2,1oiu,1h1q,0.277
CDK2,1oiu,1h1q,0.276
CDK2,1oiu,1h1q,0.275
CDK2,1oiu,1h1q,0.274
CDK2,1oiu,1h1q,0.273
CDK2,1oiu,1h1q,0.272
CDK2,1oiu,1h1q,0.271
CDK2,1oiu,1h1q,0.27
CDK2,1oiu,1h1q,0.269
CDK2,1oiu,1h1q,0.268
CDK2,1oiu,1h1q,0.267
CDK2,1oiu,1h1q,0.266
CDK2,1oiu,1h1q,0.265
CDK2,1oiu,1h1q,0.264
CDK2,1oiu,1h1q,0.263
CDK2,1oiu,1h1q,0.262
CDK2,1oiu,1h1q,0.261
CDK2,1oiu,1h1q,0.26
CDK2,1oiu,1h1q,0.259
CDK2,1oiu,1h1q,0.258
CDK2,1oiu,1h1q,0.257
CDK2,1oiu,1h1q,0.256
CDK2,1oiu,1h1q,0.255
CDK2,1oiu,1h1q,0.254
CDK2,1oiu,1h1q,0.253
CDK2,1oiu,1h1q,0.252
CDK2,1oiu,1h1q,0.251
CDK2,1oiu,1h1q,0.25
CDK2,1oiu,1h1q,0.249
CDK2,1oiu,1h1q,0.248
CDK2,1oiu,1h1q,0.247
CDK2,1oiu,1h1q,0.246
CDK2,1oiu,1h1q,0.245
CDK2,1oiu,1h1q,0.244
CDK2,1oiu,1h1q,0.243
CDK2,1oiu,1h1q,0.242
CDK2,1oiu,1h1q,0.241
CDK2,1oiu,1h1q,0.24
