,protein,ligand1,ligand2,lambdai,Gi
0,CDK2,1oiu,1h1q,0.5,19.160446
1,CDK2,1oiu,1h1q,0.457,28.998167
2,CDK2,1oiu,1h1q,0.405,38.909164
3,CDK2,1oiu,1h1q,0.36,48.87143
4,CDK2,1oiu,1h1q,0.27,58.80759
5,CDK2,1oiu,1h1q,0.183,48.963375
6,CDK2,1oiu,1h1q,0.142,39.033676
7,CDK2,1oiu,1h1q,0.102,29.106367
8,CDK2,1oiu,1h1q,0.071,19.121067
9,CDK2,1oiu,1h1q,0.036,9.1304245
10,CDK2,1oiu,1h1q,0.017,-0.8453994
11,CDK2,1oiu,1h1q,0.0,-3.8837323
12,CDK2,1h1q,1oiu,0.5,19.810043
13,CDK2,1h1q,1oiu,0.546,29.729906
14,CDK2,1h1q,1oiu,0.6,39.586018
15,CDK2,1h1q,1oiu,0.65,49.58299
16,CDK2,1h1q,1oiu,0.746,59.518196
17,CDK2,1h1q,1oiu,0.8260000000000001,49.702496
18,CDK2,1h1q,1oiu,0.86,39.704685
19,CDK2,1h1q,1oiu,0.902,29.719202
20,CDK2,1h1q,1oiu,0.933,19.945776
21,CDK2,1h1q,1oiu,0.967,10.605385
22,CDK2,1h1q,1oiu,0.982,0.7337476
23,CDK2,1h1q,1oiu,1.0,-2.8779016
