,protein,ligand1,ligand2,lambdai,y_pred
0,CDK2,1oiu,1h1q,0.5,19.160446
1,CDK2,1oiu,1h1q,0.499,19.281946
2,CDK2,1oiu,1h1q,0.498,19.394537
3,CDK2,1oiu,1h1q,0.497,19.511593
4,CDK2,1oiu,1h1q,0.496,19.636068
5,CDK2,1oiu,1h1q,0.495,19.765368
6,CDK2,1oiu,1h1q,0.494,19.893883
7,CDK2,1oiu,1h1q,0.493,20.025702
8,CDK2,1oiu,1h1q,0.492,20.167175
9,CDK2,1oiu,1h1q,0.491,20.312202
10,CDK2,1oiu,1h1q,0.49,20.453344
11,CDK2,1oiu,1h1q,0.489,20.610386
12,CDK2,1oiu,1h1q,0.488,20.771482
13,CDK2,1oiu,1h1q,0.487,20.940859
14,CDK2,1oiu,1h1q,0.486,21.122898
15,CDK2,1oiu,1h1q,0.485,21.327747
16,CDK2,1oiu,1h1q,0.484,21.544353
17,CDK2,1oiu,1h1q,0.483,21.76894
18,CDK2,1oiu,1h1q,0.482,22.000275
19,CDK2,1oiu,1h1q,0.481,22.232716
20,CDK2,1oiu,1h1q,0.48,22.461422
21,CDK2,1oiu,1h1q,0.479,22.696083
22,CDK2,1oiu,1h1q,0.478,22.935
23,CDK2,1oiu,1h1q,0.477,23.17872
24,CDK2,1oiu,1h1q,0.476,23.438908
25,CDK2,1oiu,1h1q,0.475,23.716848
26,CDK2,1oiu,1h1q,0.474,24.040539
27,CDK2,1oiu,1h1q,0.473,24.391941
28,CDK2,1oiu,1h1q,0.472,24.76104
29,CDK2,1oiu,1h1q,0.471,25.124672
30,CDK2,1oiu,1h1q,0.47,25.476479
31,CDK2,1oiu,1h1q,0.469,25.82648
32,CDK2,1oiu,1h1q,0.468,26.17489
33,CDK2,1oiu,1h1q,0.467,26.520489
34,CDK2,1oiu,1h1q,0.466,26.867847
35,CDK2,1oiu,1h1q,0.465,27.177145
36,CDK2,1oiu,1h1q,0.464,27.472366
37,CDK2,1oiu,1h1q,0.463,27.721077
38,CDK2,1oiu,1h1q,0.462,28.009052
39,CDK2,1oiu,1h1q,0.461,28.25036
40,CDK2,1oiu,1h1q,0.46,28.474686
41,CDK2,1oiu,1h1q,0.459,28.669586
42,CDK2,1oiu,1h1q,0.458,28.837366
43,CDK2,1oiu,1h1q,0.457,28.998167
44,CDK2,1oiu,1h1q,0.456,29.18535
45,CDK2,1oiu,1h1q,0.455,29.34636
46,CDK2,1oiu,1h1q,0.454,29.480213
47,CDK2,1oiu,1h1q,0.453,29.56798
48,CDK2,1oiu,1h1q,0.452,29.744556
49,CDK2,1oiu,1h1q,0.451,29.951193
50,CDK2,1oiu,1h1q,0.45,30.180416
51,CDK2,1oiu,1h1q,0.449,30.409916
52,CDK2,1oiu,1h1q,0.448,30.65685
53,CDK2,1oiu,1h1q,0.447,30.907202
54,CDK2,1oiu,1h1q,0.446,31.172571
55,CDK2,1oiu,1h1q,0.445,31.451828
56,CDK2,1oiu,1h1q,0.444,31.719437
57,CDK2,1oiu,1h1q,0.443,32.0187
58,CDK2,1oiu,1h1q,0.442,32.297485
59,CDK2,1oiu,1h1q,0.441,32.577583
60,CDK2,1oiu,1h1q,0.44,32.874958
61,CDK2,1oiu,1h1q,0.439,33.164677
62,CDK2,1oiu,1h1q,0.438,33.449287
63,CDK2,1oiu,1h1q,0.437,33.74517
64,CDK2,1oiu,1h1q,0.436,34.01485
65,CDK2,1oiu,1h1q,0.435,34.264523
66,CDK2,1oiu,1h1q,0.434,34.489025
67,CDK2,1oiu,1h1q,0.433,34.71887
68,CDK2,1oiu,1h1q,0.432,34.899765
69,CDK2,1oiu,1h1q,0.431,35.065224
70,CDK2,1oiu,1h1q,0.43,35.23319
71,CDK2,1oiu,1h1q,0.429,35.3974
72,CDK2,1oiu,1h1q,0.428,35.568855
73,CDK2,1oiu,1h1q,0.427,35.747185
74,CDK2,1oiu,1h1q,0.426,35.930725
75,CDK2,1oiu,1h1q,0.425,36.14321
76,CDK2,1oiu,1h1q,0.424,36.34859
77,CDK2,1oiu,1h1q,0.423,36.560852
78,CDK2,1oiu,1h1q,0.422,36.742275
79,CDK2,1oiu,1h1q,0.421,36.8819
80,CDK2,1oiu,1h1q,0.42,37.02222
81,CDK2,1oiu,1h1q,0.419,37.15668
82,CDK2,1oiu,1h1q,0.418,37.290684
83,CDK2,1oiu,1h1q,0.417,37.422188
84,CDK2,1oiu,1h1q,0.416,37.555702
85,CDK2,1oiu,1h1q,0.415,37.69079
86,CDK2,1oiu,1h1q,0.414,37.82706
87,CDK2,1oiu,1h1q,0.413,37.93444
88,CDK2,1oiu,1h1q,0.412,38.019665
89,CDK2,1oiu,1h1q,0.411,38.113586
90,CDK2,1oiu,1h1q,0.41,38.23852
91,CDK2,1oiu,1h1q,0.409,38.365925
92,CDK2,1oiu,1h1q,0.408,38.498005
93,CDK2,1oiu,1h1q,0.407,38.631317
94,CDK2,1oiu,1h1q,0.406,38.767117
95,CDK2,1oiu,1h1q,0.405,38.909164
96,CDK2,1oiu,1h1q,0.404,39.080975
97,CDK2,1oiu,1h1q,0.403,39.301327
98,CDK2,1oiu,1h1q,0.402,39.53902
99,CDK2,1oiu,1h1q,0.401,39.815037
100,CDK2,1oiu,1h1q,0.4,40.1044
101,CDK2,1oiu,1h1q,0.399,40.393192
102,CDK2,1oiu,1h1q,0.398,40.70832
103,CDK2,1oiu,1h1q,0.397,41.06442
104,CDK2,1oiu,1h1q,0.396,41.436016
105,CDK2,1oiu,1h1q,0.395,41.815662
106,CDK2,1oiu,1h1q,0.394,42.151016
107,CDK2,1oiu,1h1q,0.393,42.446922
108,CDK2,1oiu,1h1q,0.392,42.748215
109,CDK2,1oiu,1h1q,0.391,43.043243
110,CDK2,1oiu,1h1q,0.39,43.310246
111,CDK2,1oiu,1h1q,0.389,43.54081
112,CDK2,1oiu,1h1q,0.388,43.769833
113,CDK2,1oiu,1h1q,0.387,43.995697
114,CDK2,1oiu,1h1q,0.386,44.217594
115,CDK2,1oiu,1h1q,0.385,44.436928
116,CDK2,1oiu,1h1q,0.384,44.647022
117,CDK2,1oiu,1h1q,0.383,44.85714
118,CDK2,1oiu,1h1q,0.382,45.067257
119,CDK2,1oiu,1h1q,0.381,45.27736
120,CDK2,1oiu,1h1q,0.38,45.487465
121,CDK2,1oiu,1h1q,0.379,45.69761
122,CDK2,1oiu,1h1q,0.378,45.908348
123,CDK2,1oiu,1h1q,0.377,46.11116
124,CDK2,1oiu,1h1q,0.376,46.309433
125,CDK2,1oiu,1h1q,0.375,46.503693
126,CDK2,1oiu,1h1q,0.374,46.69449
127,CDK2,1oiu,1h1q,0.373,46.88538
128,CDK2,1oiu,1h1q,0.372,47.075546
129,CDK2,1oiu,1h1q,0.371,47.254883
130,CDK2,1oiu,1h1q,0.37,47.431206
131,CDK2,1oiu,1h1q,0.369,47.60754
132,CDK2,1oiu,1h1q,0.368,47.78376
