protein,ligand1,ligand2,lambdai
MCL1,32,46,0.5
MCL1,32,46,0.499
MCL1,32,46,0.498
MCL1,32,46,0.497
MCL1,32,46,0.496
MCL1,32,46,0.495
MCL1,32,46,0.494
MCL1,32,46,0.493
MCL1,32,46,0.492
MCL1,32,46,0.491
MCL1,32,46,0.49
MCL1,32,46,0.489
MCL1,32,46,0.488
MCL1,32,46,0.487
MCL1,32,46,0.486
MCL1,32,46,0.485
MCL1,32,46,0.484
MCL1,32,46,0.483
MCL1,32,46,0.482
MCL1,32,46,0.481
MCL1,32,46,0.48
MCL1,32,46,0.479
MCL1,32,46,0.478
MCL1,32,46,0.477
MCL1,32,46,0.476
MCL1,32,46,0.475
MCL1,32,46,0.474
MCL1,32,46,0.473
MCL1,32,46,0.472
MCL1,32,46,0.471
MCL1,32,46,0.47
MCL1,32,46,0.469
MCL1,32,46,0.468
MCL1,32,46,0.467
MCL1,32,46,0.466
MCL1,32,46,0.465
MCL1,32,46,0.464
MCL1,32,46,0.463
MCL1,32,46,0.462
MCL1,32,46,0.461
MCL1,32,46,0.46
MCL1,32,46,0.459
MCL1,32,46,0.458
MCL1,32,46,0.457
MCL1,32,46,0.456
MCL1,32,46,0.455
MCL1,32,46,0.454
MCL1,32,46,0.453
MCL1,32,46,0.452
MCL1,32,46,0.451
MCL1,32,46,0.45
MCL1,32,46,0.449
MCL1,32,46,0.448
MCL1,32,46,0.447
MCL1,32,46,0.446
MCL1,32,46,0.445
MCL1,32,46,0.444
MCL1,32,46,0.443
MCL1,32,46,0.442
MCL1,32,46,0.441
MCL1,32,46,0.44
MCL1,32,46,0.439
MCL1,32,46,0.438
MCL1,32,46,0.437
MCL1,32,46,0.436
MCL1,32,46,0.435
MCL1,32,46,0.434
MCL1,32,46,0.433
MCL1,32,46,0.432
MCL1,32,46,0.431
MCL1,32,46,0.43
MCL1,32,46,0.429
MCL1,32,46,0.428
MCL1,32,46,0.427
MCL1,32,46,0.426
MCL1,32,46,0.425
MCL1,32,46,0.424
MCL1,32,46,0.423
MCL1,32,46,0.422
MCL1,32,46,0.421
MCL1,32,46,0.42
MCL1,32,46,0.419
MCL1,32,46,0.418
MCL1,32,46,0.417
MCL1,32,46,0.416
MCL1,32,46,0.415
MCL1,32,46,0.414
MCL1,32,46,0.413
MCL1,32,46,0.412
MCL1,32,46,0.411
MCL1,32,46,0.41
MCL1,32,46,0.409
MCL1,32,46,0.408
MCL1,32,46,0.407
MCL1,32,46,0.406
MCL1,32,46,0.405
MCL1,32,46,0.404
MCL1,32,46,0.403
MCL1,32,46,0.402
MCL1,32,46,0.401
MCL1,32,46,0.4
MCL1,32,46,0.399
MCL1,32,46,0.398
MCL1,32,46,0.397
MCL1,32,46,0.396
MCL1,32,46,0.395
MCL1,32,46,0.394
MCL1,32,46,0.393
MCL1,32,46,0.392
MCL1,32,46,0.391
MCL1,32,46,0.39
MCL1,32,46,0.389
MCL1,32,46,0.388
MCL1,32,46,0.387
MCL1,32,46,0.386
MCL1,32,46,0.385
MCL1,32,46,0.384
MCL1,32,46,0.383
MCL1,32,46,0.382
MCL1,32,46,0.381
MCL1,32,46,0.38
MCL1,32,46,0.379
MCL1,32,46,0.378
MCL1,32,46,0.377
MCL1,32,46,0.376
MCL1,32,46,0.375
MCL1,32,46,0.374
MCL1,32,46,0.373
MCL1,32,46,0.372
MCL1,32,46,0.371
MCL1,32,46,0.37
MCL1,32,46,0.369
MCL1,32,46,0.368
MCL1,32,46,0.367
MCL1,32,46,0.366
MCL1,32,46,0.365
MCL1,32,46,0.364
MCL1,32,46,0.363
MCL1,32,46,0.362
MCL1,32,46,0.361
MCL1,32,46,0.36
MCL1,32,46,0.359
MCL1,32,46,0.358
MCL1,32,46,0.357
MCL1,32,46,0.356
MCL1,32,46,0.355
MCL1,32,46,0.354
MCL1,32,46,0.353
MCL1,32,46,0.352
MCL1,32,46,0.351
MCL1,32,46,0.35
MCL1,32,46,0.349
MCL1,32,46,0.348
MCL1,32,46,0.347
MCL1,32,46,0.346
MCL1,32,46,0.345
MCL1,32,46,0.344
MCL1,32,46,0.343
MCL1,32,46,0.342
MCL1,32,46,0.341
MCL1,32,46,0.34
MCL1,32,46,0.339
MCL1,32,46,0.338
MCL1,32,46,0.337
MCL1,32,46,0.336
MCL1,32,46,0.335
MCL1,32,46,0.334
MCL1,32,46,0.333
MCL1,32,46,0.332
MCL1,32,46,0.331
MCL1,32,46,0.33
MCL1,32,46,0.329
MCL1,32,46,0.328
MCL1,32,46,0.327
MCL1,32,46,0.326
MCL1,32,46,0.325
MCL1,32,46,0.324
MCL1,32,46,0.323
MCL1,32,46,0.322
MCL1,32,46,0.321
MCL1,32,46,0.32
MCL1,32,46,0.319
MCL1,32,46,0.318
MCL1,32,46,0.317
MCL1,32,46,0.316
MCL1,32,46,0.315
MCL1,32,46,0.314
MCL1,32,46,0.313
MCL1,32,46,0.312
MCL1,32,46,0.311
MCL1,32,46,0.31
MCL1,32,46,0.309
MCL1,32,46,0.308
MCL1,32,46,0.307
MCL1,32,46,0.306
MCL1,32,46,0.305
MCL1,32,46,0.304
MCL1,32,46,0.303
MCL1,32,46,0.302
MCL1,32,46,0.301
MCL1,32,46,0.3
MCL1,32,46,0.299
MCL1,32,46,0.298
MCL1,32,46,0.297
MCL1,32,46,0.296
MCL1,32,46,0.295
MCL1,32,46,0.294
MCL1,32,46,0.293
MCL1,32,46,0.292
MCL1,32,46,0.291
MCL1,32,46,0.29
MCL1,32,46,0.289
MCL1,32,46,0.288
MCL1,32,46,0.287
MCL1,32,46,0.286
MCL1,32,46,0.285
MCL1,32,46,0.284
MCL1,32,46,0.283
MCL1,32,46,0.282
MCL1,32,46,0.281
MCL1,32,46,0.28
MCL1,32,46,0.279
MCL1,32,46,0.278
MCL1,32,46,0.277
MCL1,32,46,0.276
MCL1,32,46,0.275
MCL1,32,46,0.274
MCL1,32,46,0.273
MCL1,32,46,0.272
MCL1,32,46,0.271
MCL1,32,46,0.27
MCL1,32,46,0.269
MCL1,32,46,0.268
MCL1,32,46,0.267
MCL1,32,46,0.266
MCL1,32,46,0.265
MCL1,32,46,0.264
MCL1,32,46,0.263
MCL1,32,46,0.262
MCL1,32,46,0.261
MCL1,32,46,0.26
MCL1,32,46,0.259
MCL1,32,46,0.258
MCL1,32,46,0.257
MCL1,32,46,0.256
MCL1,32,46,0.255
MCL1,32,46,0.254
MCL1,32,46,0.253
MCL1,32,46,0.252
MCL1,32,46,0.251
MCL1,32,46,0.25
MCL1,32,46,0.249
MCL1,32,46,0.248
MCL1,32,46,0.247
MCL1,32,46,0.246
MCL1,32,46,0.245
MCL1,32,46,0.244
MCL1,32,46,0.243
MCL1,32,46,0.242
MCL1,32,46,0.241
MCL1,32,46,0.24
MCL1,32,46,0.239
MCL1,32,46,0.238
MCL1,32,46,0.237
MCL1,32,46,0.236
MCL1,32,46,0.235
MCL1,32,46,0.234
MCL1,32,46,0.233
MCL1,32,46,0.232
MCL1,32,46,0.231
MCL1,32,46,0.23
MCL1,32,46,0.229
MCL1,32,46,0.228
MCL1,32,46,0.227
MCL1,32,46,0.226
MCL1,32,46,0.225
MCL1,32,46,0.224
MCL1,32,46,0.223
MCL1,32,46,0.222
MCL1,32,46,0.221
MCL1,32,46,0.22
MCL1,32,46,0.219
MCL1,32,46,0.218
MCL1,32,46,0.217
MCL1,32,46,0.216
MCL1,32,46,0.215
MCL1,32,46,0.214
MCL1,32,46,0.213
MCL1,32,46,0.212
MCL1,32,46,0.211
MCL1,32,46,0.21
MCL1,32,46,0.209
MCL1,32,46,0.208
MCL1,32,46,0.207
MCL1,32,46,0.206
MCL1,32,46,0.205
MCL1,32,46,0.204
MCL1,32,46,0.203
MCL1,32,46,0.202
MCL1,32,46,0.201
MCL1,32,46,0.2
MCL1,32,46,0.199
MCL1,32,46,0.198
MCL1,32,46,0.197
MCL1,32,46,0.196
MCL1,32,46,0.195
MCL1,32,46,0.194
MCL1,32,46,0.193
MCL1,32,46,0.192
MCL1,32,46,0.191
MCL1,32,46,0.19
MCL1,32,46,0.189
MCL1,32,46,0.188
MCL1,32,46,0.187
MCL1,32,46,0.186
MCL1,32,46,0.185
MCL1,32,46,0.184
MCL1,32,46,0.183
MCL1,32,46,0.182
MCL1,32,46,0.181
MCL1,32,46,0.18
MCL1,32,46,0.179
MCL1,32,46,0.178
MCL1,32,46,0.177
MCL1,32,46,0.176
MCL1,32,46,0.175
MCL1,32,46,0.174
MCL1,32,46,0.173
MCL1,32,46,0.172
MCL1,32,46,0.171
MCL1,32,46,0.17
MCL1,32,46,0.169
MCL1,32,46,0.168
MCL1,32,46,0.167
MCL1,32,46,0.166
MCL1,32,46,0.165
MCL1,32,46,0.164
MCL1,32,46,0.163
MCL1,32,46,0.162
MCL1,32,46,0.161
MCL1,32,46,0.16
MCL1,32,46,0.159
MCL1,32,46,0.158
MCL1,32,46,0.157
MCL1,32,46,0.156
MCL1,32,46,0.155
MCL1,32,46,0.154
MCL1,32,46,0.153
MCL1,32,46,0.152
MCL1,32,46,0.151
MCL1,32,46,0.15
MCL1,32,46,0.149
MCL1,32,46,0.148
MCL1,32,46,0.147
MCL1,32,46,0.146
MCL1,32,46,0.145
MCL1,32,46,0.144
MCL1,32,46,0.143
MCL1,32,46,0.142
MCL1,32,46,0.141
MCL1,32,46,0.14
MCL1,32,46,0.139
MCL1,32,46,0.138
MCL1,32,46,0.137
MCL1,32,46,0.136
MCL1,32,46,0.135
MCL1,32,46,0.134
MCL1,32,46,0.133
MCL1,32,46,0.132
MCL1,32,46,0.131
MCL1,32,46,0.13
MCL1,32,46,0.129
MCL1,32,46,0.128
MCL1,32,46,0.127
MCL1,32,46,0.126
MCL1,32,46,0.125
MCL1,32,46,0.124
MCL1,32,46,0.123
MCL1,32,46,0.122
MCL1,32,46,0.121
MCL1,32,46,0.12
MCL1,32,46,0.119
MCL1,32,46,0.118
MCL1,32,46,0.117
MCL1,32,46,0.116
MCL1,32,46,0.115
MCL1,32,46,0.114
MCL1,32,46,0.113
MCL1,32,46,0.112
MCL1,32,46,0.111
MCL1,32,46,0.11
MCL1,32,46,0.109
MCL1,32,46,0.108
MCL1,32,46,0.107
MCL1,32,46,0.106
MCL1,32,46,0.105
MCL1,32,46,0.104
MCL1,32,46,0.103
MCL1,32,46,0.102
MCL1,32,46,0.101
MCL1,32,46,0.1
MCL1,32,46,0.099
MCL1,32,46,0.098
MCL1,32,46,0.097
MCL1,32,46,0.096
MCL1,32,46,0.095
MCL1,32,46,0.094
MCL1,32,46,0.093
MCL1,32,46,0.092
MCL1,32,46,0.091
MCL1,32,46,0.09
MCL1,32,46,0.089
MCL1,32,46,0.088
MCL1,32,46,0.087
MCL1,32,46,0.086
MCL1,32,46,0.085
MCL1,32,46,0.084
MCL1,32,46,0.083
MCL1,32,46,0.082
MCL1,32,46,0.081
MCL1,32,46,0.08
MCL1,32,46,0.079
MCL1,32,46,0.078
MCL1,32,46,0.077
MCL1,32,46,0.076
MCL1,32,46,0.075
MCL1,32,46,0.074
MCL1,32,46,0.073
