protein,ligand1,ligand2,lambdai
BACE,CAT-13b,CAT-17g,0.5
BACE,CAT-17g,CAT-13b,0.5
BACE,CAT-13a,CAT-17g,0.5
BACE,CAT-17g,CAT-13a,0.5
BACE,CAT-13e,CAT-17g,0.5
BACE,CAT-17g,CAT-13e,0.5
BACE,CAT-4m,CAT-4c,0.5
BACE,CAT-4c,CAT-4m,0.5
BACE,CAT-13k,CAT-4d,0.5
BACE,CAT-4d,CAT-13k,0.5
BACE,CAT-24,CAT-17e,0.5
BACE,CAT-17e,CAT-24,0.5
BACE,CAT-13g,CAT-17g,0.5
BACE,CAT-17g,CAT-13g,0.5
BACE,CAT-13d,CAT-13h,0.5
BACE,CAT-13h,CAT-13d,0.5
BACE,CAT-13a,CAT-17i,0.5
BACE,CAT-17i,CAT-13a,0.5
BACE,CAT-4m,CAT-13j,0.5
BACE,CAT-13j,CAT-4m,0.5
BACE,CAT-13a,CAT-13m,0.5
BACE,CAT-13m,CAT-13a,0.5
BACE,CAT-4l,CAT-13k,0.5
BACE,CAT-13k,CAT-4l,0.5
BACE,CAT-13o,CAT-17i,0.5
BACE,CAT-17i,CAT-13o,0.5
BACE,CAT-4c,CAT-4o,0.5
BACE,CAT-4o,CAT-4c,0.5
BACE,CAT-4j,CAT-4o,0.5
BACE,CAT-4o,CAT-4j,0.5
BACE,CAT-4i,CAT-13m,0.5
BACE,CAT-13m,CAT-4i,0.5
BACE,CAT-24,CAT-17i,0.5
BACE,CAT-17i,CAT-24,0.5
BACE,CAT-13j,CAT-4o,0.5
BACE,CAT-4o,CAT-13j,0.5
BACE,CAT-4n,CAT-13k,0.5
BACE,CAT-13k,CAT-4n,0.5
BACE,CAT-4o,CAT-4b,0.5
BACE,CAT-4b,CAT-4o,0.5
BACE,CAT-17i,CAT-13f,0.5
BACE,CAT-13f,CAT-17i,0.5
BACE,CAT-17c,CAT-17e,0.5
BACE,CAT-17e,CAT-17c,0.5
BACE,CAT-13k,CAT-4b,0.5
BACE,CAT-4b,CAT-13k,0.5
BACE,CAT-4m,CAT-4j,0.5
BACE,CAT-4j,CAT-4m,0.5
BACE,CAT-13n,CAT-13k,0.5
BACE,CAT-13k,CAT-13n,0.5
BACE,CAT-13d,CAT-17h,0.5
BACE,CAT-17h,CAT-13d,0.5
BACE,CAT-17b,CAT-13d,0.5
BACE,CAT-13d,CAT-17b,0.5
BACE,CAT-4m,CAT-4n,0.5
BACE,CAT-4n,CAT-4m,0.5
BACE,CAT-4m,CAT-13k,0.5
BACE,CAT-13k,CAT-4m,0.5
BACE,CAT-13c,CAT-17i,0.5
BACE,CAT-17i,CAT-13c,0.5
BACE,CAT-4a,CAT-4o,0.5
BACE,CAT-4o,CAT-4a,0.5
BACE,CAT-13h,CAT-17i,0.5
BACE,CAT-17i,CAT-13h,0.5
BACE,CAT-4o,CAT-4d,0.5
BACE,CAT-4d,CAT-4o,0.5
BACE,CAT-17g,CAT-17c,0.5
BACE,CAT-17c,CAT-17g,0.5
BACE,CAT-4a,CAT-13k,0.5
BACE,CAT-13k,CAT-4a,0.5
BACE,CAT-13d,CAT-17d,0.5
BACE,CAT-17d,CAT-13d,0.5
BACE,CAT-17g,CAT-17f,0.5
BACE,CAT-17f,CAT-17g,0.5
BACE,CAT-13e,CAT-17i,0.5
BACE,CAT-17i,CAT-13e,0.5
BACE,CAT-13d,CAT-13b,0.5
BACE,CAT-13b,CAT-13d,0.5
BACE,CAT-17g,CAT-13i,0.5
BACE,CAT-13i,CAT-17g,0.5
BACE,CAT-4m,CAT-13m,0.5
BACE,CAT-13m,CAT-4m,0.5
BACE,CAT-17g,CAT-13c,0.5
BACE,CAT-13c,CAT-17g,0.5
BACE,CAT-17i,CAT-17a,0.5
BACE,CAT-17a,CAT-17i,0.5
BACE,CAT-13d,CAT-13f,0.5
BACE,CAT-13f,CAT-13d,0.5
BACE,CAT-17f,CAT-17e,0.5
BACE,CAT-17e,CAT-17f,0.5
BACE,CAT-13d,CAT-17a,0.5
BACE,CAT-17a,CAT-13d,0.5
BACE,CAT-17g,CAT-17d,0.5
BACE,CAT-17d,CAT-17g,0.5
BACE,CAT-13n,CAT-13a,0.5
BACE,CAT-13a,CAT-13n,0.5
BACE,CAT-13o,CAT-17h,0.5
BACE,CAT-17h,CAT-13o,0.5
BACE,CAT-17b,CAT-17e,0.5
BACE,CAT-17e,CAT-17b,0.5
BACE,CAT-4k,CAT-4o,0.5
BACE,CAT-4o,CAT-4k,0.5
BACE,CAT-4m,CAT-4l,0.5
BACE,CAT-4l,CAT-4m,0.5
BACE,CAT-4m,CAT-4k,0.5
BACE,CAT-4k,CAT-4m,0.5
BACE,CAT-13n,CAT-4i,0.5
BACE,CAT-4i,CAT-13n,0.5
BACE,CAT-13g,CAT-17i,0.5
BACE,CAT-17i,CAT-13g,0.5
BACE,CAT-4p,CAT-13k,0.5
BACE,CAT-13k,CAT-4p,0.5
BACE,CAT-4m,CAT-4p,0.5
BACE,CAT-4p,CAT-4m,0.5
BACE,CAT-13d,CAT-13i,0.5
BACE,CAT-13i,CAT-13d,0.5
