protein,ligand1,ligand2,lambdai
BACE,CAT-13a,CAT-4o,0.5
BACE,CAT-4o,CAT-13a,0.5
BACE,CAT-13a,CAT-13e,0.5
BACE,CAT-13e,CAT-13a,0.5
BACE,CAT-13a,CAT-17b,0.5
BACE,CAT-17b,CAT-13a,0.5
BACE,CAT-13a,CAT-13k,0.5
BACE,CAT-13k,CAT-13a,0.5
BACE,CAT-13a,CAT-4m,0.5
BACE,CAT-4m,CAT-13a,0.5
BACE,CAT-13a,CAT-4b,0.5
BACE,CAT-4b,CAT-13a,0.5
BACE,CAT-13a,CAT-4p,0.5
BACE,CAT-4p,CAT-13a,0.5
BACE,CAT-13a,CAT-17f,0.5
BACE,CAT-17f,CAT-13a,0.5
BACE,CAT-13a,CAT-4l,0.5
BACE,CAT-4l,CAT-13a,0.5
BACE,CAT-13a,CAT-13g,0.5
BACE,CAT-13g,CAT-13a,0.5
BACE,CAT-13a,CAT-17e,0.5
BACE,CAT-17e,CAT-13a,0.5
BACE,CAT-13a,CAT-13b,0.5
BACE,CAT-13b,CAT-13a,0.5
BACE,CAT-13a,CAT-4a,0.5
BACE,CAT-4a,CAT-13a,0.5
BACE,CAT-13a,CAT-4k,0.5
BACE,CAT-4k,CAT-13a,0.5
BACE,CAT-13a,CAT-17d,0.5
BACE,CAT-17d,CAT-13a,0.5
BACE,CAT-13a,CAT-13i,0.5
BACE,CAT-13i,CAT-13a,0.5
BACE,CAT-13a,CAT-17c,0.5
BACE,CAT-17c,CAT-13a,0.5
BACE,CAT-13a,CAT-24,0.5
BACE,CAT-24,CAT-13a,0.5
BACE,CAT-13a,CAT-13m,0.5
BACE,CAT-13m,CAT-13a,0.5
BACE,CAT-13a,CAT-4i,0.5
BACE,CAT-4i,CAT-13a,0.5
BACE,CAT-13a,CAT-4j,0.5
BACE,CAT-4j,CAT-13a,0.5
BACE,CAT-13a,CAT-13f,0.5
BACE,CAT-13f,CAT-13a,0.5
BACE,CAT-13a,CAT-13n,0.5
BACE,CAT-13n,CAT-13a,0.5
BACE,CAT-13a,CAT-13h,0.5
BACE,CAT-13h,CAT-13a,0.5
BACE,CAT-13a,CAT-13d,0.5
BACE,CAT-13d,CAT-13a,0.5
BACE,CAT-13a,CAT-4d,0.5
BACE,CAT-4d,CAT-13a,0.5
BACE,CAT-13a,CAT-17i,0.5
BACE,CAT-17i,CAT-13a,0.5
BACE,CAT-13a,CAT-17a,0.5
BACE,CAT-17a,CAT-13a,0.5
BACE,CAT-13a,CAT-17g,0.5
BACE,CAT-17g,CAT-13a,0.5
BACE,CAT-13a,CAT-4c,0.5
BACE,CAT-4c,CAT-13a,0.5
BACE,CAT-13a,CAT-17h,0.5
BACE,CAT-17h,CAT-13a,0.5
BACE,CAT-13a,CAT-13j,0.5
BACE,CAT-13j,CAT-13a,0.5
BACE,CAT-13a,CAT-13c,0.5
BACE,CAT-13c,CAT-13a,0.5
BACE,CAT-13a,CAT-13o,0.5
BACE,CAT-13o,CAT-13a,0.5
BACE,CAT-13a,CAT-4n,0.5
BACE,CAT-4n,CAT-13a,0.5
