protein,ligand1,ligand2,lambdai
CDK8,43,38,0.5
CDK8,38,43,0.5
CDK8,43,42,0.5
CDK8,42,43,0.5
CDK8,43,45,0.5
CDK8,45,43,0.5
CDK8,17,16,0.5
CDK8,16,17,0.5
CDK8,17,25,0.5
CDK8,25,17,0.5
CDK8,17,45,0.5
CDK8,45,17,0.5
CDK8,28,25,0.5
CDK8,25,28,0.5
CDK8,28,30,0.5
CDK8,30,28,0.5
CDK8,28,39,0.5
CDK8,39,28,0.5
CDK8,22,21,0.5
CDK8,21,22,0.5
CDK8,22,26,0.5
CDK8,26,22,0.5
CDK8,22,32,0.5
CDK8,32,22,0.5
CDK8,16,14,0.5
CDK8,14,16,0.5
CDK8,16,15,0.5
CDK8,15,16,0.5
CDK8,16,20,0.5
CDK8,20,16,0.5
CDK8,16,19,0.5
CDK8,19,16,0.5
CDK8,30,33,0.5
CDK8,33,30,0.5
CDK8,30,37,0.5
CDK8,37,30,0.5
CDK8,21,20,0.5
CDK8,20,21,0.5
CDK8,21,41,0.5
CDK8,41,21,0.5
CDK8,21,29,0.5
CDK8,29,21,0.5
CDK8,21,26,0.5
CDK8,26,21,0.5
CDK8,24,42,0.5
CDK8,42,24,0.5
CDK8,24,33,0.5
CDK8,33,24,0.5
CDK8,38,29,0.5
CDK8,29,38,0.5
CDK8,31,25,0.5
CDK8,25,31,0.5
CDK8,31,37,0.5
CDK8,37,31,0.5
CDK8,41,39,0.5
CDK8,39,41,0.5
CDK8,41,40,0.5
CDK8,40,41,0.5
CDK8,29,33,0.5
CDK8,33,29,0.5
CDK8,20,35,0.5
CDK8,35,20,0.5
CDK8,42,13,0.5
CDK8,13,42,0.5
CDK8,35,18,0.5
CDK8,18,35,0.5
CDK8,35,27,0.5
CDK8,27,35,0.5
CDK8,35,37,0.5
CDK8,37,35,0.5
CDK8,35,36,0.5
CDK8,36,35,0.5
CDK8,44,32,0.5
CDK8,32,44,0.5
CDK8,44,36,0.5
CDK8,36,44,0.5
CDK8,18,13,0.5
CDK8,13,18,0.5
CDK8,18,15,0.5
CDK8,15,18,0.5
CDK8,18,45,0.5
CDK8,45,18,0.5
CDK8,40,19,0.5
CDK8,19,40,0.5
CDK8,40,33,0.5
CDK8,33,40,0.5
CDK8,19,32,0.5
CDK8,32,19,0.5
CDK8,19,25,0.5
CDK8,25,19,0.5
CDK8,33,32,0.5
CDK8,32,33,0.5
CDK8,33,34,0.5
CDK8,34,33,0.5
CDK8,27,36,0.5
CDK8,36,27,0.5
CDK8,13,14,0.5
CDK8,14,13,0.5
CDK8,39,32,0.5
CDK8,32,39,0.5
CDK8,32,23,0.5
CDK8,23,32,0.5
CDK8,23,14,0.5
CDK8,14,23,0.5
CDK8,23,34,0.5
CDK8,34,23,0.5
CDK8,34,36,0.5
CDK8,36,34,0.5
