protein,ligand1,ligand2,lambdai
Jnk1,17124-1,18634-1,0.5
Jnk1,18634-1,17124-1,0.5
Jnk1,18626-1,18624-1,0.5
Jnk1,18624-1,18626-1,0.5
Jnk1,18636-1,18625-1,0.5
Jnk1,18625-1,18636-1,0.5
Jnk1,18632-1,18624-1,0.5
Jnk1,18624-1,18632-1,0.5
Jnk1,18635-1,18625-1,0.5
Jnk1,18625-1,18635-1,0.5
Jnk1,18626-1,18658-1,0.5
Jnk1,18658-1,18626-1,0.5
Jnk1,18639-1,18658-1,0.5
Jnk1,18658-1,18639-1,0.5
Jnk1,18626-1,18625-1,0.5
Jnk1,18625-1,18626-1,0.5
Jnk1,18638-1,18658-1,0.5
Jnk1,18658-1,18638-1,0.5
Jnk1,18628-1,18624-1,0.5
Jnk1,18624-1,18628-1,0.5
Jnk1,18631-1,18660-1,0.5
Jnk1,18660-1,18631-1,0.5
Jnk1,18638-1,18634-1,0.5
Jnk1,18634-1,18638-1,0.5
Jnk1,18626-1,18632-1,0.5
Jnk1,18632-1,18626-1,0.5
Jnk1,18626-1,18630-1,0.5
Jnk1,18630-1,18626-1,0.5
Jnk1,18631-1,18624-1,0.5
Jnk1,18624-1,18631-1,0.5
Jnk1,18629-1,18627-1,0.5
Jnk1,18627-1,18629-1,0.5
Jnk1,18634-1,18637-1,0.5
Jnk1,18637-1,18634-1,0.5
Jnk1,18626-1,18627-1,0.5
Jnk1,18627-1,18626-1,0.5
Jnk1,18631-1,18652-1,0.5
Jnk1,18652-1,18631-1,0.5
Jnk1,18637-1,18631-1,0.5
Jnk1,18631-1,18637-1,0.5
Jnk1,18626-1,18634-1,0.5
Jnk1,18634-1,18626-1,0.5
Jnk1,18633-1,18624-1,0.5
Jnk1,18624-1,18633-1,0.5
Jnk1,17124-1,18631-1,0.5
Jnk1,18631-1,17124-1,0.5
Jnk1,18627-1,18630-1,0.5
Jnk1,18630-1,18627-1,0.5
Jnk1,18659-1,18634-1,0.5
Jnk1,18634-1,18659-1,0.5
Jnk1,18636-1,18624-1,0.5
Jnk1,18624-1,18636-1,0.5
Jnk1,18626-1,18628-1,0.5
Jnk1,18628-1,18626-1,0.5
Jnk1,18626-1,18660-1,0.5
Jnk1,18660-1,18626-1,0.5
Jnk1,18626-1,18659-1,0.5
Jnk1,18659-1,18626-1,0.5
Jnk1,18639-1,18634-1,0.5
Jnk1,18634-1,18639-1,0.5
Jnk1,18635-1,18624-1,0.5
Jnk1,18624-1,18635-1,0.5
