protein,ligand1,ligand2,lambdai
MCL1,50,60,0.5
MCL1,60,50,0.5
MCL1,56,35,0.5
MCL1,35,56,0.5
MCL1,65,60,0.5
MCL1,60,65,0.5
MCL1,26,57,0.5
MCL1,57,26,0.5
MCL1,58,60,0.5
MCL1,60,58,0.5
MCL1,62,45,0.5
MCL1,45,62,0.5
MCL1,60,36,0.5
MCL1,36,60,0.5
MCL1,30,27,0.5
MCL1,27,30,0.5
MCL1,33,27,0.5
MCL1,27,33,0.5
MCL1,43,27,0.5
MCL1,27,43,0.5
MCL1,67,58,0.5
MCL1,58,67,0.5
MCL1,67,32,0.5
MCL1,32,67,0.5
MCL1,30,40,0.5
MCL1,40,30,0.5
MCL1,38,60,0.5
MCL1,60,38,0.5
MCL1,41,35,0.5
MCL1,35,41,0.5
MCL1,54,23,0.5
MCL1,23,54,0.5
MCL1,56,60,0.5
MCL1,60,56,0.5
MCL1,66,42,0.5
MCL1,42,66,0.5
MCL1,29,40,0.5
MCL1,40,29,0.5
MCL1,26,44,0.5
MCL1,44,26,0.5
MCL1,49,35,0.5
MCL1,35,49,0.5
MCL1,29,35,0.5
MCL1,35,29,0.5
MCL1,42,51,0.5
MCL1,51,42,0.5
MCL1,39,32,0.5
MCL1,32,39,0.5
MCL1,35,37,0.5
MCL1,37,35,0.5
MCL1,28,35,0.5
MCL1,35,28,0.5
MCL1,35,53,0.5
MCL1,53,35,0.5
MCL1,67,63,0.5
MCL1,63,67,0.5
MCL1,27,45,0.5
MCL1,45,27,0.5
MCL1,41,32,0.5
MCL1,32,41,0.5
MCL1,67,53,0.5
MCL1,53,67,0.5
MCL1,35,33,0.5
MCL1,33,35,0.5
MCL1,27,46,0.5
MCL1,46,27,0.5
MCL1,66,23,0.5
MCL1,23,66,0.5
MCL1,67,61,0.5
MCL1,61,67,0.5
MCL1,57,23,0.5
MCL1,23,57,0.5
MCL1,30,35,0.5
MCL1,35,30,0.5
MCL1,61,60,0.5
MCL1,60,61,0.5
MCL1,67,31,0.5
MCL1,31,67,0.5
MCL1,32,46,0.5
MCL1,46,32,0.5
MCL1,35,60,0.5
MCL1,60,35,0.5
MCL1,31,35,0.5
MCL1,35,31,0.5
MCL1,62,26,0.5
MCL1,26,62,0.5
MCL1,35,36,0.5
MCL1,36,35,0.5
MCL1,26,64,0.5
MCL1,64,26,0.5
MCL1,38,35,0.5
MCL1,35,38,0.5
MCL1,35,34,0.5
MCL1,34,35,0.5
MCL1,29,27,0.5
MCL1,27,29,0.5
MCL1,48,27,0.5
MCL1,27,48,0.5
MCL1,68,45,0.5
MCL1,45,68,0.5
MCL1,63,60,0.5
MCL1,60,63,0.5
MCL1,54,42,0.5
MCL1,42,54,0.5
MCL1,44,23,0.5
MCL1,23,44,0.5
MCL1,28,27,0.5
MCL1,27,28,0.5
MCL1,67,27,0.5
MCL1,27,67,0.5
MCL1,52,60,0.5
MCL1,60,52,0.5
MCL1,27,23,0.5
MCL1,23,27,0.5
MCL1,49,67,0.5
MCL1,67,49,0.5
MCL1,28,47,0.5
MCL1,47,28,0.5
MCL1,67,52,0.5
MCL1,52,67,0.5
MCL1,30,48,0.5
MCL1,48,30,0.5
MCL1,67,35,0.5
MCL1,35,67,0.5
MCL1,32,34,0.5
MCL1,34,32,0.5
MCL1,65,67,0.5
MCL1,67,65,0.5
MCL1,67,50,0.5
MCL1,50,67,0.5
MCL1,35,39,0.5
MCL1,39,35,0.5
MCL1,43,47,0.5
MCL1,47,43,0.5
MCL1,67,37,0.5
MCL1,37,67,0.5
MCL1,42,64,0.5
MCL1,64,42,0.5
MCL1,51,45,0.5
MCL1,45,51,0.5
MCL1,68,23,0.5
MCL1,23,68,0.5
