protein,ligand1,ligand2,lambdai
MCL1,27,27,0.5
MCL1,27,27,0.5
MCL1,27,23,0.5
MCL1,23,27,0.5
MCL1,27,26,0.5
MCL1,26,27,0.5
MCL1,27,28,0.5
MCL1,28,27,0.5
MCL1,27,29,0.5
MCL1,29,27,0.5
MCL1,27,30,0.5
MCL1,30,27,0.5
MCL1,27,31,0.5
MCL1,31,27,0.5
MCL1,27,32,0.5
MCL1,32,27,0.5
MCL1,27,33,0.5
MCL1,33,27,0.5
MCL1,27,34,0.5
MCL1,34,27,0.5
MCL1,27,35,0.5
MCL1,35,27,0.5
MCL1,27,36,0.5
MCL1,36,27,0.5
MCL1,27,37,0.5
MCL1,37,27,0.5
MCL1,27,38,0.5
MCL1,38,27,0.5
MCL1,27,39,0.5
MCL1,39,27,0.5
MCL1,27,40,0.5
MCL1,40,27,0.5
MCL1,27,41,0.5
MCL1,41,27,0.5
MCL1,27,42,0.5
MCL1,42,27,0.5
MCL1,27,43,0.5
MCL1,43,27,0.5
MCL1,27,44,0.5
MCL1,44,27,0.5
MCL1,27,45,0.5
MCL1,45,27,0.5
MCL1,27,46,0.5
MCL1,46,27,0.5
MCL1,27,47,0.5
MCL1,47,27,0.5
MCL1,27,48,0.5
MCL1,48,27,0.5
MCL1,27,49,0.5
MCL1,49,27,0.5
MCL1,27,50,0.5
MCL1,50,27,0.5
MCL1,27,51,0.5
MCL1,51,27,0.5
MCL1,27,52,0.5
MCL1,52,27,0.5
MCL1,27,53,0.5
MCL1,53,27,0.5
MCL1,27,54,0.5
MCL1,54,27,0.5
MCL1,27,56,0.5
MCL1,56,27,0.5
MCL1,27,57,0.5
MCL1,57,27,0.5
MCL1,27,58,0.5
MCL1,58,27,0.5
MCL1,27,60,0.5
MCL1,60,27,0.5
MCL1,27,61,0.5
MCL1,61,27,0.5
MCL1,27,62,0.5
MCL1,62,27,0.5
MCL1,27,63,0.5
MCL1,63,27,0.5
MCL1,27,64,0.5
MCL1,64,27,0.5
MCL1,27,65,0.5
MCL1,65,27,0.5
MCL1,27,66,0.5
MCL1,66,27,0.5
MCL1,27,67,0.5
MCL1,67,27,0.5
MCL1,27,68,0.5
MCL1,68,27,0.5
