protein,ligand1,ligand2,lambdai
PTP1B,23466,23475,0.5
PTP1B,23475,23466,0.5
PTP1B,23467,23466,0.5
PTP1B,23466,23467,0.5
PTP1B,23467,23468,0.5
PTP1B,23468,23467,0.5
PTP1B,23467,23469,0.5
PTP1B,23469,23467,0.5
PTP1B,23467,23470,0.5
PTP1B,23470,23467,0.5
PTP1B,23467,23473,0.5
PTP1B,23473,23467,0.5
PTP1B,23467,23474,0.5
PTP1B,23474,23467,0.5
PTP1B,23467,23475,0.5
PTP1B,23475,23467,0.5
PTP1B,23467,23476,0.5
PTP1B,23476,23467,0.5
PTP1B,23469,23472,0.5
PTP1B,23472,23469,0.5
PTP1B,23469,20669_2qbr,0.5
PTP1B,20669_2qbr,23469,0.5
PTP1B,23471,23466,0.5
PTP1B,23466,23471,0.5
PTP1B,23471,23468,0.5
PTP1B,23468,23471,0.5
PTP1B,23471,23470,0.5
PTP1B,23470,23471,0.5
PTP1B,23473,20669_2qbr,0.5
PTP1B,20669_2qbr,23473,0.5
PTP1B,23474,23466,0.5
PTP1B,23466,23474,0.5
PTP1B,23476,23466,0.5
PTP1B,23466,23476,0.5
PTP1B,23477,23466,0.5
PTP1B,23466,23477,0.5
PTP1B,23477,23467,0.5
PTP1B,23467,23477,0.5
PTP1B,23477,23479,0.5
PTP1B,23479,23477,0.5
PTP1B,23477,23482,0.5
PTP1B,23482,23477,0.5
PTP1B,23477,23483,0.5
PTP1B,23483,23477,0.5
PTP1B,23477,23330_2qbq,0.5
PTP1B,23330_2qbq,23477,0.5
PTP1B,23480,23479,0.5
PTP1B,23479,23480,0.5
PTP1B,23480,23482,0.5
PTP1B,23482,23480,0.5
PTP1B,23482,23479,0.5
PTP1B,23479,23482,0.5
PTP1B,23482,23485,0.5
PTP1B,23485,23482,0.5
PTP1B,23482,23486,0.5
PTP1B,23486,23482,0.5
PTP1B,23483,23479,0.5
PTP1B,23479,23483,0.5
PTP1B,23484,23479,0.5
PTP1B,23479,23484,0.5
PTP1B,23484,23482,0.5
PTP1B,23482,23484,0.5
PTP1B,23484,23485,0.5
PTP1B,23485,23484,0.5
PTP1B,23484,23486,0.5
PTP1B,23486,23484,0.5
PTP1B,23485,23479,0.5
PTP1B,23479,23485,0.5
PTP1B,23486,23479,0.5
PTP1B,23479,23486,0.5
PTP1B,23486,23485,0.5
PTP1B,23485,23486,0.5
PTP1B,20667_2qbp,23479,0.5
PTP1B,23479,20667_2qbp,0.5
PTP1B,20667_2qbp,23482,0.5
PTP1B,23482,20667_2qbp,0.5
PTP1B,20667_2qbp,23484,0.5
PTP1B,23484,20667_2qbp,0.5
PTP1B,20667_2qbp,23485,0.5
PTP1B,23485,20667_2qbp,0.5
PTP1B,20667_2qbp,23486,0.5
PTP1B,23486,20667_2qbp,0.5
PTP1B,20669_2qbr,23466,0.5
PTP1B,23466,20669_2qbr,0.5
PTP1B,20669_2qbr,23472,0.5
PTP1B,23472,20669_2qbr,0.5
PTP1B,20670_2qbs,23466,0.5
PTP1B,23466,20670_2qbs,0.5
PTP1B,20670_2qbs,23477,0.5
PTP1B,23477,20670_2qbs,0.5
PTP1B,20670_2qbs,23479,0.5
PTP1B,23479,20670_2qbs,0.5
PTP1B,20670_2qbs,23482,0.5
PTP1B,23482,20670_2qbs,0.5
PTP1B,20670_2qbs,23483,0.5
PTP1B,23483,20670_2qbs,0.5
PTP1B,20670_2qbs,23330_2qbq,0.5
PTP1B,23330_2qbq,20670_2qbs,0.5
