protein,ligand1,ligand2,lambdai
Tyk2,jmc_23,ejm_55,0.5
Tyk2,ejm_55,jmc_23,0.5
Tyk2,ejm_44,ejm_55,0.5
Tyk2,ejm_55,ejm_44,0.5
Tyk2,ejm_49,ejm_31,0.5
Tyk2,ejm_31,ejm_49,0.5
Tyk2,ejm_31,ejm_46,0.5
Tyk2,ejm_46,ejm_31,0.5
Tyk2,jmc_28,jmc_27,0.5
Tyk2,jmc_27,jmc_28,0.5
Tyk2,ejm_42,ejm_48,0.5
Tyk2,ejm_48,ejm_42,0.5
Tyk2,ejm_31,ejm_43,0.5
Tyk2,ejm_43,ejm_31,0.5
Tyk2,ejm_50,ejm_42,0.5
Tyk2,ejm_42,ejm_50,0.5
Tyk2,ejm_42,ejm_55,0.5
Tyk2,ejm_55,ejm_42,0.5
Tyk2,jmc_23,ejm_46,0.5
Tyk2,ejm_46,jmc_23,0.5
Tyk2,ejm_31,ejm_45,0.5
Tyk2,ejm_45,ejm_31,0.5
Tyk2,ejm_55,ejm_54,0.5
Tyk2,ejm_54,ejm_55,0.5
Tyk2,ejm_45,ejm_42,0.5
Tyk2,ejm_42,ejm_45,0.5
Tyk2,ejm_31,jmc_28,0.5
Tyk2,jmc_28,ejm_31,0.5
Tyk2,ejm_31,ejm_48,0.5
Tyk2,ejm_48,ejm_31,0.5
Tyk2,ejm_47,ejm_31,0.5
Tyk2,ejm_31,ejm_47,0.5
Tyk2,ejm_47,ejm_55,0.5
Tyk2,ejm_55,ejm_47,0.5
Tyk2,ejm_44,ejm_42,0.5
Tyk2,ejm_42,ejm_44,0.5
Tyk2,jmc_23,jmc_27,0.5
Tyk2,jmc_27,jmc_23,0.5
Tyk2,ejm_43,ejm_55,0.5
Tyk2,ejm_55,ejm_43,0.5
Tyk2,jmc_23,jmc_30,0.5
Tyk2,jmc_30,jmc_23,0.5
Tyk2,jmc_28,jmc_30,0.5
Tyk2,jmc_30,jmc_28,0.5
Tyk2,ejm_42,ejm_54,0.5
Tyk2,ejm_54,ejm_42,0.5
Tyk2,ejm_49,ejm_50,0.5
Tyk2,ejm_50,ejm_49,0.5
