protein,ligand1,ligand2,lambdai
Tyk2,ejm_31,ejm_31,0.5
Tyk2,ejm_31,ejm_31,0.5
Tyk2,ejm_31,ejm_42,0.5
Tyk2,ejm_42,ejm_31,0.5
Tyk2,ejm_31,ejm_43,0.5
Tyk2,ejm_43,ejm_31,0.5
Tyk2,ejm_31,ejm_44,0.5
Tyk2,ejm_44,ejm_31,0.5
Tyk2,ejm_31,ejm_45,0.5
Tyk2,ejm_45,ejm_31,0.5
Tyk2,ejm_31,ejm_46,0.5
Tyk2,ejm_46,ejm_31,0.5
Tyk2,ejm_31,ejm_47,0.5
Tyk2,ejm_47,ejm_31,0.5
Tyk2,ejm_31,ejm_48,0.5
Tyk2,ejm_48,ejm_31,0.5
Tyk2,ejm_31,ejm_49,0.5
Tyk2,ejm_49,ejm_31,0.5
Tyk2,ejm_31,ejm_50,0.5
Tyk2,ejm_50,ejm_31,0.5
Tyk2,ejm_31,ejm_54,0.5
Tyk2,ejm_54,ejm_31,0.5
Tyk2,ejm_31,ejm_55,0.5
Tyk2,ejm_55,ejm_31,0.5
Tyk2,ejm_31,jmc_23,0.5
Tyk2,jmc_23,ejm_31,0.5
Tyk2,ejm_31,jmc_27,0.5
Tyk2,jmc_27,ejm_31,0.5
Tyk2,ejm_31,jmc_28,0.5
Tyk2,jmc_28,ejm_31,0.5
Tyk2,ejm_31,jmc_30,0.5
Tyk2,jmc_30,ejm_31,0.5
