protein,ligand1,ligand2,lambdai
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402744_300,0.5
cmet,CHEMBL3402744_300,CHEMBL3402765_11-charged-pKa-8.1,0.5
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402745_200,0.5
cmet,CHEMBL3402745_200,CHEMBL3402765_11-charged-pKa-8.1,0.5
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402743_42,0.5
cmet,CHEMBL3402743_42,CHEMBL3402765_11-charged-pKa-8.1,0.5
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402764_90,0.5
cmet,CHEMBL3402764_90,CHEMBL3402765_11-charged-pKa-8.1,0.5
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402760_1,0.5
cmet,CHEMBL3402760_1,CHEMBL3402765_11-charged-pKa-8.1,0.5
cmet,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402742_23,0.5
cmet,CHEMBL3402742_23,CHEMBL3402765_11-charged-pKa-8.1,0.5
cmet,CHEMBL3402753_200,CHEMBL3402747_3400,0.5
cmet,CHEMBL3402747_3400,CHEMBL3402753_200,0.5
cmet,CHEMBL3402753_200,CHEMBL3402761_1,0.5
cmet,CHEMBL3402761_1,CHEMBL3402753_200,0.5
cmet,CHEMBL3402753_200,CHEMBL3402755_4200,0.5
cmet,CHEMBL3402755_4200,CHEMBL3402753_200,0.5
cmet,CHEMBL3402753_200,CHEMBL3402750_400,0.5
cmet,CHEMBL3402750_400,CHEMBL3402753_200,0.5
cmet,CHEMBL3402759_5.7,CHEMBL3402757_6.5,0.5
cmet,CHEMBL3402757_6.5,CHEMBL3402759_5.7,0.5
cmet,CHEMBL3402759_5.7,CHEMBL3402763_90,0.5
cmet,CHEMBL3402763_90,CHEMBL3402759_5.7,0.5
cmet,CHEMBL3402759_5.7,CHEMBL3402758_10,0.5
cmet,CHEMBL3402758_10,CHEMBL3402759_5.7,0.5
cmet,CHEMBL3402747_3400,CHEMBL3402744_300,0.5
cmet,CHEMBL3402744_300,CHEMBL3402747_3400,0.5
cmet,CHEMBL3402747_3400,CHEMBL3402749_500,0.5
cmet,CHEMBL3402749_500,CHEMBL3402747_3400,0.5
cmet,CHEMBL3402747_3400,CHEMBL3402751_2100,0.5
cmet,CHEMBL3402751_2100,CHEMBL3402747_3400,0.5
cmet,CHEMBL3402747_3400,CHEMBL3402752_30000,0.5
cmet,CHEMBL3402752_30000,CHEMBL3402747_3400,0.5
cmet,CHEMBL3402747_3400,CHEMBL3402755_4200,0.5
cmet,CHEMBL3402755_4200,CHEMBL3402747_3400,0.5
cmet,CHEMBL3402744_300,CHEMBL3402745_200,0.5
cmet,CHEMBL3402745_200,CHEMBL3402744_300,0.5
cmet,CHEMBL3402744_300,CHEMBL3402752_30000,0.5
cmet,CHEMBL3402752_30000,CHEMBL3402744_300,0.5
cmet,CHEMBL3402744_300,CHEMBL3402756_2.7,0.5
cmet,CHEMBL3402756_2.7,CHEMBL3402744_300,0.5
cmet,CHEMBL3402744_300,CHEMBL3402757_6.5,0.5
cmet,CHEMBL3402757_6.5,CHEMBL3402744_300,0.5
cmet,CHEMBL3402745_200,CHEMBL3402743_42,0.5
cmet,CHEMBL3402743_42,CHEMBL3402745_200,0.5
cmet,CHEMBL3402745_200,CHEMBL3402742_23,0.5
cmet,CHEMBL3402742_23,CHEMBL3402745_200,0.5
cmet,CHEMBL3402745_200,CHEMBL3402748_5300,0.5
cmet,CHEMBL3402748_5300,CHEMBL3402745_200,0.5
cmet,CHEMBL3402745_200,CHEMBL3402752_30000,0.5
cmet,CHEMBL3402752_30000,CHEMBL3402745_200,0.5
cmet,CHEMBL3402745_200,CHEMBL3402756_2.7,0.5
cmet,CHEMBL3402756_2.7,CHEMBL3402745_200,0.5
cmet,CHEMBL3402761_1,CHEMBL3402755_4200,0.5
cmet,CHEMBL3402755_4200,CHEMBL3402761_1,0.5
cmet,CHEMBL3402761_1,CHEMBL3402754_40,0.5
