protein,ligand1,ligand2,lambdai
hif2a,338,165,0.5
hif2a,165,338,0.5
hif2a,338,215,0.5
hif2a,215,338,0.5
hif2a,338,163,0.5
hif2a,163,338,0.5
hif2a,43,235,0.5
hif2a,235,43,0.5
hif2a,43,54,0.5
hif2a,54,43,0.5
hif2a,43,215,0.5
hif2a,215,43,0.5
hif2a,43,155,0.5
hif2a,155,43,0.5
hif2a,43,25,0.5
hif2a,25,43,0.5
hif2a,235,1,0.5
hif2a,1,235,0.5
hif2a,235,54,0.5
hif2a,54,235,0.5
hif2a,234,227,0.5
hif2a,227,234,0.5
hif2a,234,289,0.5
hif2a,289,234,0.5
hif2a,30,42,0.5
hif2a,42,30,0.5
hif2a,30,84,0.5
hif2a,84,30,0.5
hif2a,30,251,0.5
hif2a,251,30,0.5
hif2a,30,25,0.5
hif2a,25,30,0.5
hif2a,1,155,0.5
hif2a,155,1,0.5
hif2a,1,7a,0.5
hif2a,7a,1,0.5
hif2a,1,254,0.5
hif2a,254,1,0.5
hif2a,1,256,0.5
hif2a,256,1,0.5
hif2a,1,15,0.5
hif2a,15,1,0.5
hif2a,237,227,0.5
hif2a,227,237,0.5
hif2a,237,31,0.5
hif2a,31,237,0.5
hif2a,237,41,0.5
hif2a,41,237,0.5
hif2a,237,336,0.5
hif2a,336,237,0.5
hif2a,237,290,0.5
hif2a,290,237,0.5
hif2a,237,254,0.5
hif2a,254,237,0.5
hif2a,227,167,0.5
hif2a,167,227,0.5
hif2a,227,231,0.5
hif2a,231,227,0.5
hif2a,227,15,0.5
hif2a,15,227,0.5
hif2a,266,156,0.5
hif2a,156,266,0.5
hif2a,266,165,0.5
hif2a,165,266,0.5
hif2a,266,84,0.5
hif2a,84,266,0.5
hif2a,266,254,0.5
hif2a,254,266,0.5
hif2a,206,57,0.5
hif2a,57,206,0.5
hif2a,206,42,0.5
hif2a,42,206,0.5
hif2a,206,23,0.5
hif2a,23,206,0.5
hif2a,206,256,0.5
hif2a,256,206,0.5
hif2a,67,165,0.5
hif2a,165,67,0.5
hif2a,67,256,0.5
hif2a,256,67,0.5
hif2a,156,167,0.5
hif2a,167,156,0.5
hif2a,156,165,0.5
hif2a,165,156,0.5
hif2a,156,42,0.5
hif2a,42,156,0.5
hif2a,156,164,0.5
hif2a,164,156,0.5
hif2a,31,61,0.5
hif2a,61,31,0.5
hif2a,31,7a,0.5
hif2a,7a,31,0.5
hif2a,289,35,0.5
hif2a,35,289,0.5
hif2a,289,224,0.5
hif2a,224,289,0.5
hif2a,61,251,0.5
hif2a,251,61,0.5
hif2a,167,165,0.5
hif2a,165,167,0.5
hif2a,167,155,0.5
hif2a,155,167,0.5
hif2a,167,50,0.5
hif2a,50,167,0.5
hif2a,165,42,0.5
hif2a,42,165,0.5
hif2a,165,252,0.5
hif2a,252,165,0.5
hif2a,165,336,0.5
hif2a,336,165,0.5
hif2a,165,163,0.5
hif2a,163,165,0.5
hif2a,41,7b,0.5
hif2a,7b,41,0.5
hif2a,7b,42,0.5
hif2a,42,7b,0.5
hif2a,7b,231,0.5
hif2a,231,7b,0.5
hif2a,54,251,0.5
hif2a,251,54,0.5
hif2a,54,124,0.5
hif2a,124,54,0.5
hif2a,215,252,0.5
hif2a,252,215,0.5
hif2a,215,15,0.5
hif2a,15,215,0.5
hif2a,215,163,0.5
hif2a,163,215,0.5
hif2a,57,231,0.5
hif2a,231,57,0.5
hif2a,42,164,0.5
hif2a,164,42,0.5
hif2a,35,7a,0.5
hif2a,7a,35,0.5
hif2a,35,84,0.5
hif2a,84,35,0.5
hif2a,252,336,0.5
hif2a,336,252,0.5
hif2a,252,290,0.5
hif2a,290,252,0.5
hif2a,252,155,0.5
hif2a,155,252,0.5
hif2a,252,231,0.5
hif2a,231,252,0.5
hif2a,252,124,0.5
hif2a,124,252,0.5
hif2a,336,251,0.5
hif2a,251,336,0.5
hif2a,290,7a,0.5
hif2a,7a,290,0.5
hif2a,290,84,0.5
hif2a,84,290,0.5
hif2a,290,23,0.5
hif2a,23,290,0.5
hif2a,290,256,0.5
hif2a,256,290,0.5
hif2a,155,84,0.5
hif2a,84,155,0.5
hif2a,164,124,0.5
hif2a,124,164,0.5
hif2a,164,25,0.5
hif2a,25,164,0.5
hif2a,164,163,0.5
hif2a,163,164,0.5
hif2a,7a,224,0.5
hif2a,224,7a,0.5
hif2a,7a,23,0.5
hif2a,23,7a,0.5
hif2a,224,231,0.5
hif2a,231,224,0.5
hif2a,84,15,0.5
hif2a,15,84,0.5
hif2a,254,251,0.5
hif2a,251,254,0.5
hif2a,254,50,0.5
hif2a,50,254,0.5
hif2a,23,15,0.5
hif2a,15,23,0.5
hif2a,251,15,0.5
hif2a,15,251,0.5
hif2a,251,25,0.5
hif2a,25,251,0.5
hif2a,15,25,0.5
hif2a,25,15,0.5
