protein,ligand1,ligand2,lambdai
hif2a,43,43,0.5
hif2a,43,43,0.5
hif2a,43,338,0.5
hif2a,338,43,0.5
hif2a,43,235,0.5
hif2a,235,43,0.5
hif2a,43,234,0.5
hif2a,234,43,0.5
hif2a,43,30,0.5
hif2a,30,43,0.5
hif2a,43,1,0.5
hif2a,1,43,0.5
hif2a,43,237,0.5
hif2a,237,43,0.5
hif2a,43,227,0.5
hif2a,227,43,0.5
hif2a,43,266,0.5
hif2a,266,43,0.5
hif2a,43,206,0.5
hif2a,206,43,0.5
hif2a,43,67,0.5
hif2a,67,43,0.5
hif2a,43,156,0.5
hif2a,156,43,0.5
hif2a,43,31,0.5
hif2a,31,43,0.5
hif2a,43,289,0.5
hif2a,289,43,0.5
hif2a,43,61,0.5
hif2a,61,43,0.5
hif2a,43,167,0.5
hif2a,167,43,0.5
hif2a,43,165,0.5
hif2a,165,43,0.5
hif2a,43,41,0.5
hif2a,41,43,0.5
hif2a,43,7b,0.5
hif2a,7b,43,0.5
hif2a,43,54,0.5
hif2a,54,43,0.5
hif2a,43,215,0.5
hif2a,215,43,0.5
hif2a,43,57,0.5
hif2a,57,43,0.5
hif2a,43,42,0.5
hif2a,42,43,0.5
hif2a,43,35,0.5
hif2a,35,43,0.5
hif2a,43,252,0.5
hif2a,252,43,0.5
hif2a,43,336,0.5
hif2a,336,43,0.5
hif2a,43,290,0.5
hif2a,290,43,0.5
hif2a,43,155,0.5
hif2a,155,43,0.5
hif2a,43,164,0.5
hif2a,164,43,0.5
hif2a,43,7a,0.5
hif2a,7a,43,0.5
hif2a,43,224,0.5
hif2a,224,43,0.5
hif2a,43,84,0.5
hif2a,84,43,0.5
hif2a,43,254,0.5
hif2a,254,43,0.5
hif2a,43,23,0.5
hif2a,23,43,0.5
hif2a,43,251,0.5
hif2a,251,43,0.5
hif2a,43,256,0.5
hif2a,256,43,0.5
hif2a,43,50,0.5
hif2a,50,43,0.5
hif2a,43,231,0.5
hif2a,231,43,0.5
hif2a,43,15,0.5
hif2a,15,43,0.5
hif2a,43,124,0.5
hif2a,124,43,0.5
hif2a,43,25,0.5
hif2a,25,43,0.5
hif2a,43,163,0.5
hif2a,163,43,0.5
