protein,ligand1,ligand2,lambdai
p38,p38a_2u,p38a_2q,0.5
p38,p38a_2q,p38a_2u,0.5
p38,p38a_3fln,p38a_2g,0.5
p38,p38a_2g,p38a_3fln,0.5
p38,p38a_2u,p38a_2k,0.5
p38,p38a_2k,p38a_2u,0.5
p38,p38a_2v,p38a_3fln,0.5
p38,p38a_3fln,p38a_2v,0.5
p38,p38a_3fln,p38a_2n,0.5
p38,p38a_2n,p38a_3fln,0.5
p38,p38a_2ee,p38a_3fln,0.5
p38,p38a_3fln,p38a_2ee,0.5
p38,p38a_3fly,p38a_3flq,0.5
p38,p38a_3flq,p38a_3fly,0.5
p38,p38a_3fln,p38a_2p,0.5
p38,p38a_2p,p38a_3fln,0.5
p38,p38a_3fly,p38a_2x,0.5
p38,p38a_2x,p38a_3fly,0.5
p38,p38a_2v,p38a_2y,0.5
p38,p38a_2y,p38a_2v,0.5
p38,p38a_2j,p38a_2f,0.5
p38,p38a_2f,p38a_2j,0.5
p38,p38a_2j,p38a_2q,0.5
p38,p38a_2q,p38a_2j,0.5
p38,p38a_2z,p38a_3fmk,0.5
p38,p38a_3fmk,p38a_2z,0.5
p38,p38a_3fly,p38a_3fmh,0.5
p38,p38a_3fmh,p38a_3fly,0.5
p38,p38a_2z,p38a_2aa,0.5
p38,p38a_2aa,p38a_2z,0.5
p38,p38a_3fln,p38a_2gg,0.5
p38,p38a_2gg,p38a_3fln,0.5
p38,p38a_2v,p38a_3fly,0.5
p38,p38a_3fly,p38a_2v,0.5
p38,p38a_2j,p38a_2h,0.5
p38,p38a_2h,p38a_2j,0.5
p38,p38a_2l,p38a_2o,0.5
p38,p38a_2o,p38a_2l,0.5
p38,p38a_3fln,p38a_2t,0.5
p38,p38a_2t,p38a_3fln,0.5
p38,p38a_2v,p38a_2x,0.5
p38,p38a_2x,p38a_2v,0.5
p38,p38a_2j,p38a_2ff,0.5
p38,p38a_2ff,p38a_2j,0.5
p38,p38a_2g,p38a_2c,0.5
p38,p38a_2c,p38a_2g,0.5
p38,p38a_2l,p38a_2p,0.5
p38,p38a_2p,p38a_2l,0.5
p38,p38a_2g,p38a_2h,0.5
p38,p38a_2h,p38a_2g,0.5
p38,p38a_3fln,p38a_2o,0.5
p38,p38a_2o,p38a_3fln,0.5
p38,p38a_2gg,p38a_2j,0.5
p38,p38a_2j,p38a_2gg,0.5
p38,p38a_3fln,p38a_2r,0.5
p38,p38a_2r,p38a_3fln,0.5
p38,p38a_3fln,p38a_2i,0.5
p38,p38a_2i,p38a_3fln,0.5
p38,p38a_2z,p38a_3flw,0.5
p38,p38a_3flw,p38a_2z,0.5
p38,p38a_2g,p38a_2i,0.5
p38,p38a_2i,p38a_2g,0.5
p38,p38a_3flz,p38a_2c,0.5
p38,p38a_2c,p38a_3flz,0.5
p38,p38a_2ee,p38a_2j,0.5
p38,p38a_2j,p38a_2ee,0.5
p38,p38a_2m,p38a_2j,0.5
p38,p38a_2j,p38a_2m,0.5
p38,p38a_2t,p38a_2j,0.5
p38,p38a_2j,p38a_2t,0.5
p38,p38a_2j,p38a_2r,0.5
p38,p38a_2r,p38a_2j,0.5
p38,p38a_2e,p38a_2j,0.5
p38,p38a_2j,p38a_2e,0.5
p38,p38a_2v,p38a_3fmh,0.5
p38,p38a_3fmh,p38a_2v,0.5
p38,p38a_2v,p38a_3fmk,0.5
p38,p38a_3fmk,p38a_2v,0.5
p38,p38a_2aa,p38a_2bb,0.5
p38,p38a_2bb,p38a_2aa,0.5
p38,p38a_3fln,p38a_2s,0.5
p38,p38a_2s,p38a_3fln,0.5
p38,p38a_2v,p38a_2j,0.5
p38,p38a_2j,p38a_2v,0.5
p38,p38a_2v,p38a_2bb,0.5
p38,p38a_2bb,p38a_2v,0.5
p38,p38a_2l,p38a_2j,0.5
p38,p38a_2j,p38a_2l,0.5
p38,p38a_2z,p38a_2y,0.5
p38,p38a_2y,p38a_2z,0.5
p38,p38a_3fln,p38a_3flz,0.5
p38,p38a_3flz,p38a_3fln,0.5
p38,p38a_2z,p38a_3flq,0.5
p38,p38a_3flq,p38a_2z,0.5
p38,p38a_2l,p38a_2n,0.5
p38,p38a_2n,p38a_2l,0.5
p38,p38a_3fln,p38a_2e,0.5
p38,p38a_2e,p38a_3fln,0.5
p38,p38a_2m,p38a_2k,0.5
p38,p38a_2k,p38a_2m,0.5
p38,p38a_3flz,p38a_2g,0.5
p38,p38a_2g,p38a_3flz,0.5
p38,p38a_2aa,p38a_3flw,0.5
p38,p38a_3flw,p38a_2aa,0.5
p38,p38a_2s,p38a_2l,0.5
p38,p38a_2l,p38a_2s,0.5
p38,p38a_2g,p38a_2f,0.5
p38,p38a_2f,p38a_2g,0.5
p38,p38a_3fln,p38a_2k,0.5
p38,p38a_2k,p38a_3fln,0.5
p38,p38a_3fln,p38a_2ff,0.5
p38,p38a_2ff,p38a_3fln,0.5
