protein,ligand1,ligand2,lambdai
pfkfb3,43,48,0.5
pfkfb3,48,43,0.5
pfkfb3,43,44,0.5
pfkfb3,44,43,0.5
pfkfb3,30,56,0.5
pfkfb3,56,30,0.5
pfkfb3,30,70,0.5
pfkfb3,70,30,0.5
pfkfb3,65,34,0.5
pfkfb3,34,65,0.5
pfkfb3,65,70,0.5
pfkfb3,70,65,0.5
pfkfb3,65,64,0.5
pfkfb3,64,65,0.5
pfkfb3,65,63,0.5
pfkfb3,63,65,0.5
pfkfb3,65,20,0.5
pfkfb3,20,65,0.5
pfkfb3,49,58,0.5
pfkfb3,58,49,0.5
pfkfb3,49,42,0.5
pfkfb3,42,49,0.5
pfkfb3,49,44,0.5
pfkfb3,44,49,0.5
pfkfb3,24,69,0.5
pfkfb3,69,24,0.5
pfkfb3,24,70,0.5
pfkfb3,70,24,0.5
pfkfb3,24,34,0.5
pfkfb3,34,24,0.5
pfkfb3,67,56,0.5
pfkfb3,56,67,0.5
pfkfb3,67,57,0.5
pfkfb3,57,67,0.5
pfkfb3,67,64,0.5
pfkfb3,64,67,0.5
pfkfb3,62,70,0.5
pfkfb3,70,62,0.5
pfkfb3,62,31,0.5
pfkfb3,31,62,0.5
pfkfb3,56,69,0.5
pfkfb3,69,56,0.5
pfkfb3,59,35,0.5
pfkfb3,35,59,0.5
pfkfb3,59,52,0.5
pfkfb3,52,59,0.5
pfkfb3,59,47,0.5
pfkfb3,47,59,0.5
pfkfb3,38,26,0.5
pfkfb3,26,38,0.5
pfkfb3,38,41,0.5
pfkfb3,41,38,0.5
pfkfb3,38,39,0.5
pfkfb3,39,38,0.5
pfkfb3,31,19,0.5
pfkfb3,19,31,0.5
pfkfb3,48,47,0.5
pfkfb3,47,48,0.5
pfkfb3,48,20,0.5
pfkfb3,20,48,0.5
pfkfb3,58,68,0.5
pfkfb3,68,58,0.5
pfkfb3,58,60,0.5
pfkfb3,60,58,0.5
pfkfb3,58,63,0.5
pfkfb3,63,58,0.5
pfkfb3,41,44,0.5
pfkfb3,44,41,0.5
pfkfb3,29,54,0.5
pfkfb3,54,29,0.5
pfkfb3,29,63,0.5
pfkfb3,63,29,0.5
pfkfb3,29,70,0.5
pfkfb3,70,29,0.5
pfkfb3,29,23,0.5
pfkfb3,23,29,0.5
pfkfb3,54,36,0.5
pfkfb3,36,54,0.5
pfkfb3,54,70,0.5
pfkfb3,70,54,0.5
pfkfb3,47,46,0.5
pfkfb3,46,47,0.5
pfkfb3,47,20,0.5
pfkfb3,20,47,0.5
pfkfb3,26,69,0.5
pfkfb3,69,26,0.5
pfkfb3,26,70,0.5
pfkfb3,70,26,0.5
pfkfb3,55,63,0.5
pfkfb3,63,55,0.5
pfkfb3,55,23,0.5
pfkfb3,23,55,0.5
pfkfb3,20,39,0.5
pfkfb3,39,20,0.5
pfkfb3,20,42,0.5
pfkfb3,42,20,0.5
pfkfb3,57,70,0.5
pfkfb3,70,57,0.5
pfkfb3,35,69,0.5
pfkfb3,69,35,0.5
pfkfb3,44,68,0.5
pfkfb3,68,44,0.5
pfkfb3,63,36,0.5
pfkfb3,36,63,0.5
pfkfb3,69,53,0.5
pfkfb3,53,69,0.5
pfkfb3,69,23,0.5
pfkfb3,23,69,0.5
pfkfb3,69,60,0.5
pfkfb3,60,69,0.5
pfkfb3,52,53,0.5
pfkfb3,53,52,0.5
pfkfb3,52,19,0.5
pfkfb3,19,52,0.5
pfkfb3,52,46,0.5
pfkfb3,46,52,0.5
pfkfb3,19,37,0.5
pfkfb3,37,19,0.5
pfkfb3,19,70,0.5
pfkfb3,70,19,0.5
pfkfb3,68,70,0.5
pfkfb3,70,68,0.5
pfkfb3,68,53,0.5
pfkfb3,53,68,0.5
pfkfb3,33,23,0.5
pfkfb3,23,33,0.5
pfkfb3,33,36,0.5
pfkfb3,36,33,0.5
pfkfb3,33,70,0.5
pfkfb3,70,33,0.5
pfkfb3,39,37,0.5
pfkfb3,37,39,0.5
