protein,ligand1,ligand2,lambdai
pfkfb3,49,49,0.5
pfkfb3,49,49,0.5
pfkfb3,49,68,0.5
pfkfb3,68,49,0.5
pfkfb3,49,67,0.5
pfkfb3,67,49,0.5
pfkfb3,49,26,0.5
pfkfb3,26,49,0.5
pfkfb3,49,24,0.5
pfkfb3,24,49,0.5
pfkfb3,49,53,0.5
pfkfb3,53,49,0.5
pfkfb3,49,37,0.5
pfkfb3,37,49,0.5
pfkfb3,49,29,0.5
pfkfb3,29,49,0.5
pfkfb3,49,55,0.5
pfkfb3,55,49,0.5
pfkfb3,49,23,0.5
pfkfb3,23,49,0.5
pfkfb3,49,34,0.5
pfkfb3,34,49,0.5
pfkfb3,49,30,0.5
pfkfb3,30,49,0.5
pfkfb3,49,56,0.5
pfkfb3,56,49,0.5
pfkfb3,49,36,0.5
pfkfb3,36,49,0.5
pfkfb3,49,19,0.5
pfkfb3,19,49,0.5
pfkfb3,49,35,0.5
pfkfb3,35,49,0.5
pfkfb3,49,57,0.5
pfkfb3,57,49,0.5
pfkfb3,49,33,0.5
pfkfb3,33,49,0.5
pfkfb3,49,52,0.5
pfkfb3,52,49,0.5
pfkfb3,49,70,0.5
pfkfb3,70,49,0.5
pfkfb3,49,38,0.5
pfkfb3,38,49,0.5
pfkfb3,49,60,0.5
pfkfb3,60,49,0.5
pfkfb3,49,54,0.5
pfkfb3,54,49,0.5
pfkfb3,49,31,0.5
pfkfb3,31,49,0.5
pfkfb3,49,64,0.5
pfkfb3,64,49,0.5
pfkfb3,49,69,0.5
pfkfb3,69,49,0.5
pfkfb3,49,58,0.5
pfkfb3,58,49,0.5
pfkfb3,49,59,0.5
pfkfb3,59,49,0.5
pfkfb3,49,63,0.5
pfkfb3,63,49,0.5
pfkfb3,49,39,0.5
pfkfb3,39,49,0.5
pfkfb3,49,48,0.5
pfkfb3,48,49,0.5
pfkfb3,49,46,0.5
pfkfb3,46,49,0.5
pfkfb3,49,62,0.5
pfkfb3,62,49,0.5
pfkfb3,49,65,0.5
pfkfb3,65,49,0.5
pfkfb3,49,47,0.5
pfkfb3,47,49,0.5
pfkfb3,49,41,0.5
pfkfb3,41,49,0.5
pfkfb3,49,44,0.5
pfkfb3,44,49,0.5
pfkfb3,49,42,0.5
pfkfb3,42,49,0.5
pfkfb3,49,43,0.5
pfkfb3,43,49,0.5
pfkfb3,49,20,0.5
pfkfb3,20,49,0.5
