protein,ligand1,ligand2,lambdai
shp2,SHP099-1_Example_7,Example_8,0.5
shp2,Example_8,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_14,0.5
shp2,Example_14,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_22,0.5
shp2,Example_22,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_2,0.5
shp2,Example_2,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_1,0.5
shp2,Example_1,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_30,0.5
shp2,Example_30,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_5,0.5
shp2,Example_5,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_28,0.5
shp2,Example_28,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,10,0.5
shp2,10,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_23,0.5
shp2,Example_23,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_26,0.5
shp2,Example_26,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_25,0.5
shp2,Example_25,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_24,0.5
shp2,Example_24,SHP099-1_Example_7,0.5
shp2,Example_22,Example_23,0.5
shp2,Example_23,Example_22,0.5
shp2,Example_22,7,0.5
shp2,7,Example_22,0.5
shp2,Example_29,Example_9,0.5
shp2,Example_9,Example_29,0.5
shp2,Example_29,11,0.5
shp2,11,Example_29,0.5
shp2,11,Example_25,0.5
shp2,Example_25,11,0.5
shp2,11,Example_6,0.5
shp2,Example_6,11,0.5
shp2,11,4,0.5
shp2,4,11,0.5
shp2,11,7,0.5
shp2,7,11,0.5
shp2,4,Example_5,0.5
shp2,Example_5,4,0.5
shp2,4,Example_27,0.5
shp2,Example_27,4,0.5
shp2,4,SHP836-2,0.5
shp2,SHP836-2,4,0.5
shp2,Example_2,Example_23,0.5
shp2,Example_23,Example_2,0.5
shp2,Example_2,Example_1,0.5
shp2,Example_1,Example_2,0.5
shp2,Example_2,Example_4,0.5
shp2,Example_4,Example_2,0.5
shp2,Example_14,7,0.5
shp2,7,Example_14,0.5
shp2,Example_14,6,0.5
shp2,6,Example_14,0.5
shp2,Example_26,SHP836-2,0.5
shp2,SHP836-2,Example_26,0.5
shp2,Example_26,Example_6,0.5
shp2,Example_6,Example_26,0.5
shp2,Example_26,Example_25,0.5
shp2,Example_25,Example_26,0.5
shp2,SHP836-2,Example_5,0.5
shp2,Example_5,SHP836-2,0.5
shp2,SHP836-2,Example_27,0.5
shp2,Example_27,SHP836-2,0.5
shp2,Example_6,Example_8,0.5
shp2,Example_8,Example_6,0.5
shp2,Example_6,Example_25,0.5
shp2,Example_25,Example_6,0.5
shp2,Example_6,6,0.5
shp2,6,Example_6,0.5
shp2,Example_1,Example_24,0.5
shp2,Example_24,Example_1,0.5
shp2,Example_1,6,0.5
shp2,6,Example_1,0.5
shp2,Example_1,7,0.5
shp2,7,Example_1,0.5
shp2,Example_1,Example_4,0.5
shp2,Example_4,Example_1,0.5
shp2,Example_1,Example_3,0.5
shp2,Example_3,Example_1,0.5
shp2,3,Example_9,0.5
shp2,Example_9,3,0.5
shp2,3,Example_3,0.5
shp2,Example_3,3,0.5
shp2,Example_9,Example_30,0.5
shp2,Example_30,Example_9,0.5
shp2,Example_8,Example_30,0.5
shp2,Example_30,Example_8,0.5
shp2,Example_8,Example_4,0.5
shp2,Example_4,Example_8,0.5
shp2,7,10,0.5
shp2,10,7,0.5
shp2,Example_24,Example_28,0.5
shp2,Example_28,Example_24,0.5
shp2,Example_24,Example_30,0.5
shp2,Example_30,Example_24,0.5
shp2,Example_24,Example_23,0.5
shp2,Example_23,Example_24,0.5
shp2,Example_28,6,0.5
shp2,6,Example_28,0.5
shp2,10,Example_30,0.5
shp2,Example_30,10,0.5
shp2,Example_25,Example_3,0.5
shp2,Example_3,Example_25,0.5
shp2,Example_27,Example_4,0.5
shp2,Example_4,Example_27,0.5
shp2,Example_4,Example_3,0.5
shp2,Example_3,Example_4,0.5
