protein,ligand1,ligand2,lambdai
shp2,Example_29,Example_29,0.5
shp2,Example_29,Example_29,0.5
shp2,Example_29,Example_9,0.5
shp2,Example_9,Example_29,0.5
shp2,Example_29,Example_8,0.5
shp2,Example_8,Example_29,0.5
shp2,Example_29,Example_14,0.5
shp2,Example_14,Example_29,0.5
shp2,Example_29,SHP099-1_Example_7,0.5
shp2,SHP099-1_Example_7,Example_29,0.5
shp2,Example_29,Example_24,0.5
shp2,Example_24,Example_29,0.5
shp2,Example_29,Example_26,0.5
shp2,Example_26,Example_29,0.5
shp2,Example_29,Example_23,0.5
shp2,Example_23,Example_29,0.5
shp2,Example_29,Example_25,0.5
shp2,Example_25,Example_29,0.5
shp2,Example_29,10,0.5
shp2,10,Example_29,0.5
shp2,Example_29,6,0.5
shp2,6,Example_29,0.5
shp2,Example_29,Example_22,0.5
shp2,Example_22,Example_29,0.5
shp2,Example_29,Example_1,0.5
shp2,Example_1,Example_29,0.5
shp2,Example_29,Example_2,0.5
shp2,Example_2,Example_29,0.5
shp2,Example_29,Example_30,0.5
shp2,Example_30,Example_29,0.5
shp2,Example_29,Example_5,0.5
shp2,Example_5,Example_29,0.5
shp2,Example_29,Example_6,0.5
shp2,Example_6,Example_29,0.5
shp2,Example_29,Example_4,0.5
shp2,Example_4,Example_29,0.5
shp2,Example_29,Example_3,0.5
shp2,Example_3,Example_29,0.5
shp2,Example_29,11,0.5
shp2,11,Example_29,0.5
shp2,Example_29,7,0.5
shp2,7,Example_29,0.5
shp2,Example_29,Example_27,0.5
shp2,Example_27,Example_29,0.5
shp2,Example_29,SHP836-2,0.5
shp2,SHP836-2,Example_29,0.5
shp2,Example_29,3,0.5
shp2,3,Example_29,0.5
shp2,Example_29,4,0.5
shp2,4,Example_29,0.5
shp2,Example_29,Example_28,0.5
shp2,Example_28,Example_29,0.5
