protein,ligand1,ligand2,lambdai
syk,CHEMBL3265027,CHEMBL3264995,0.5
syk,CHEMBL3264995,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265028,0.5
syk,CHEMBL3265028,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265011,0.5
syk,CHEMBL3265011,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265026,0.5
syk,CHEMBL3265026,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265024,0.5
syk,CHEMBL3265024,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265016,0.5
syk,CHEMBL3265016,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265022,0.5
syk,CHEMBL3265022,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265008,0.5
syk,CHEMBL3265008,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265025,0.5
syk,CHEMBL3265025,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265000,0.5
syk,CHEMBL3265000,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265020,0.5
syk,CHEMBL3265020,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265017,0.5
syk,CHEMBL3265017,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265005,0.5
syk,CHEMBL3265005,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265032,0.5
syk,CHEMBL3265032,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265029,0.5
syk,CHEMBL3265029,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265015,0.5
syk,CHEMBL3265015,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265021,0.5
syk,CHEMBL3265021,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265037,0.5
syk,CHEMBL3265037,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265034,0.5
syk,CHEMBL3265034,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265013,0.5
syk,CHEMBL3265013,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3264997,0.5
syk,CHEMBL3264997,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265033,0.5
syk,CHEMBL3265033,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265010,0.5
syk,CHEMBL3265010,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3264998,0.5
syk,CHEMBL3264998,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3259820,0.5
syk,CHEMBL3259820,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265006,0.5
syk,CHEMBL3265006,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265001,0.5
syk,CHEMBL3265001,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265012,0.5
syk,CHEMBL3265012,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265023,0.5
syk,CHEMBL3265023,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265018,0.5
syk,CHEMBL3265018,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3264994,0.5
syk,CHEMBL3264994,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265036,0.5
syk,CHEMBL3265036,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3264999,0.5
syk,CHEMBL3264999,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265004,0.5
syk,CHEMBL3265004,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265019,0.5
syk,CHEMBL3265019,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3264996,0.5
syk,CHEMBL3264996,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265002,0.5
syk,CHEMBL3265002,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265009,0.5
syk,CHEMBL3265009,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265035,0.5
syk,CHEMBL3265035,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265031,0.5
syk,CHEMBL3265031,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265003,0.5
syk,CHEMBL3265003,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265014,0.5
syk,CHEMBL3265014,CHEMBL3265027,0.5
syk,CHEMBL3265027,CHEMBL3265030_n,0.5
syk,CHEMBL3265030_n,CHEMBL3265027,0.5
