protein,ligand1,ligand2,lambdai
tnks2,3a,7,0.5
tnks2,7,3a,0.5
tnks2,3a,5m,0.5
tnks2,5m,3a,0.5
tnks2,3a,3b,0.5
tnks2,3b,3a,0.5
tnks2,5f,5a,0.5
tnks2,5a,5f,0.5
tnks2,5f,5i,0.5
tnks2,5i,5f,0.5
tnks2,5f,5l,0.5
tnks2,5l,5f,0.5
tnks2,8e,5k,0.5
tnks2,5k,8e,0.5
tnks2,8e,8a,0.5
tnks2,8a,8e,0.5
tnks2,8e,8b,0.5
tnks2,8b,8e,0.5
tnks2,8e,8c,0.5
tnks2,8c,8e,0.5
tnks2,5l,5e,0.5
tnks2,5e,5l,0.5
tnks2,5l,5j,0.5
tnks2,5j,5l,0.5
tnks2,5l,5p,0.5
tnks2,5p,5l,0.5
tnks2,8b,8a,0.5
tnks2,8a,8b,0.5
tnks2,8b,8f,0.5
tnks2,8f,8b,0.5
tnks2,8b,8d,0.5
tnks2,8d,8b,0.5
tnks2,5g,5a,0.5
tnks2,5a,5g,0.5
tnks2,5g,5b,0.5
tnks2,5b,5g,0.5
tnks2,5g,5d,0.5
tnks2,5d,5g,0.5
tnks2,5g,5h,0.5
tnks2,5h,5g,0.5
tnks2,1b,1a,0.5
tnks2,1a,1b,0.5
tnks2,1b,5h,0.5
tnks2,5h,1b,0.5
tnks2,1b,5d,0.5
tnks2,5d,1b,0.5
tnks2,1b,5n,0.5
tnks2,5n,1b,0.5
tnks2,1b,5c,0.5
tnks2,5c,1b,0.5
tnks2,5e,5a,0.5
tnks2,5a,5e,0.5
tnks2,5e,5i,0.5
tnks2,5i,5e,0.5
tnks2,5e,5h,0.5
tnks2,5h,5e,0.5
tnks2,5e,5k,0.5
tnks2,5k,5e,0.5
tnks2,5e,5p,0.5
tnks2,5p,5e,0.5
tnks2,5e,5n,0.5
tnks2,5n,5e,0.5
tnks2,5i,5a,0.5
tnks2,5a,5i,0.5
tnks2,5i,5o,0.5
tnks2,5o,5i,0.5
tnks2,5i,5m,0.5
tnks2,5m,5i,0.5
tnks2,8d,1a,0.5
tnks2,1a,8d,0.5
tnks2,8d,8f,0.5
tnks2,8f,8d,0.5
tnks2,8d,8c,0.5
tnks2,8c,8d,0.5
tnks2,5b,5o,0.5
tnks2,5o,5b,0.5
tnks2,5b,5n,0.5
tnks2,5n,5b,0.5
tnks2,5b,5c,0.5
tnks2,5c,5b,0.5
tnks2,5b,5j,0.5
tnks2,5j,5b,0.5
tnks2,5h,5m,0.5
tnks2,5m,5h,0.5
tnks2,8c,5k,0.5
tnks2,5k,8c,0.5
tnks2,5a,5k,0.5
tnks2,5k,5a,0.5
tnks2,5a,5j,0.5
tnks2,5j,5a,0.5
tnks2,5a,5d,0.5
tnks2,5d,5a,0.5
tnks2,5a,5n,0.5
tnks2,5n,5a,0.5
tnks2,5a,5c,0.5
tnks2,5c,5a,0.5
tnks2,5k,5d,0.5
tnks2,5d,5k,0.5
tnks2,7,3b,0.5
tnks2,3b,7,0.5
tnks2,7,5d,0.5
tnks2,5d,7,0.5
tnks2,7,5j,0.5
tnks2,5j,7,0.5
tnks2,7,8a,0.5
tnks2,8a,7,0.5
tnks2,5p,5n,0.5
tnks2,5n,5p,0.5
tnks2,1a,5d,0.5
tnks2,5d,1a,0.5
tnks2,8f,5m,0.5
tnks2,5m,8f,0.5
tnks2,8f,8a,0.5
tnks2,8a,8f,0.5
tnks2,8a,5d,0.5
tnks2,5d,8a,0.5
tnks2,5o,5m,0.5
tnks2,5m,5o,0.5
tnks2,5d,5m,0.5
tnks2,5m,5d,0.5
