protein,ligand1,ligand2,lambdai
tnks2,1a,1a,0.5
tnks2,1a,1a,0.5
tnks2,1a,1b,0.5
tnks2,1b,1a,0.5
tnks2,1a,3a,0.5
tnks2,3a,1a,0.5
tnks2,1a,3b,0.5
tnks2,3b,1a,0.5
tnks2,1a,5a,0.5
tnks2,5a,1a,0.5
tnks2,1a,5b,0.5
tnks2,5b,1a,0.5
tnks2,1a,5c,0.5
tnks2,5c,1a,0.5
tnks2,1a,5d,0.5
tnks2,5d,1a,0.5
tnks2,1a,5e,0.5
tnks2,5e,1a,0.5
tnks2,1a,5f,0.5
tnks2,5f,1a,0.5
tnks2,1a,5g,0.5
tnks2,5g,1a,0.5
tnks2,1a,5h,0.5
tnks2,5h,1a,0.5
tnks2,1a,5i,0.5
tnks2,5i,1a,0.5
tnks2,1a,5j,0.5
tnks2,5j,1a,0.5
tnks2,1a,5k,0.5
tnks2,5k,1a,0.5
tnks2,1a,5l,0.5
tnks2,5l,1a,0.5
tnks2,1a,5m,0.5
tnks2,5m,1a,0.5
tnks2,1a,5n,0.5
tnks2,5n,1a,0.5
tnks2,1a,5o,0.5
tnks2,5o,1a,0.5
tnks2,1a,5p,0.5
tnks2,5p,1a,0.5
tnks2,1a,7,0.5
tnks2,7,1a,0.5
tnks2,1a,8a,0.5
tnks2,8a,1a,0.5
tnks2,1a,8b,0.5
tnks2,8b,1a,0.5
tnks2,1a,8f,0.5
tnks2,8f,1a,0.5
tnks2,1a,8c,0.5
tnks2,8c,1a,0.5
tnks2,1a,8d,0.5
tnks2,8d,1a,0.5
tnks2,1a,8e,0.5
tnks2,8e,1a,0.5
